**********
SEMILLA 10
**********
Iteración 133	 Error de entrenamiento: 0.116301
Iteración 134	 Error de entrenamiento: 0.115783
Iteración 135	 Error de entrenamiento: 0.115269
Iteración 136	 Error de entrenamiento: 0.114758
Iteración 137	 Error de entrenamiento: 0.11425
Iteración 138	 Error de entrenamiento: 0.113745
Iteración 139	 Error de entrenamiento: 0.113243
Iteración 140	 Error de entrenamiento: 0.112745
Iteración 141	 Error de entrenamiento: 0.11225
Iteración 142	 Error de entrenamiento: 0.111758
Iteración 143	 Error de entrenamiento: 0.111267
Iteración 144	 Error de entrenamiento: 0.110778
Iteración 145	 Error de entrenamiento: 0.11029
Iteración 146	 Error de entrenamiento: 0.109803
Iteración 147	 Error de entrenamiento: 0.109316
Iteración 148	 Error de entrenamiento: 0.108831
Iteración 149	 Error de entrenamiento: 0.108347
Iteración 150	 Error de entrenamiento: 0.107866
Iteración 151	 Error de entrenamiento: 0.107388
Iteración 152	 Error de entrenamiento: 0.106915
Iteración 153	 Error de entrenamiento: 0.106447
Iteración 154	 Error de entrenamiento: 0.105987
Iteración 155	 Error de entrenamiento: 0.105534
Iteración 156	 Error de entrenamiento: 0.105088
Iteración 157	 Error de entrenamiento: 0.104648
Iteración 158	 Error de entrenamiento: 0.104214
Iteración 159	 Error de entrenamiento: 0.103786
Iteración 160	 Error de entrenamiento: 0.103363
Iteración 161	 Error de entrenamiento: 0.102945
Iteración 162	 Error de entrenamiento: 0.102533
Iteración 163	 Error de entrenamiento: 0.102126
Iteración 164	 Error de entrenamiento: 0.101724
Iteración 165	 Error de entrenamiento: 0.101329
Iteración 166	 Error de entrenamiento: 0.10094
Iteración 167	 Error de entrenamiento: 0.100557
Iteración 168	 Error de entrenamiento: 0.10018
Iteración 169	 Error de entrenamiento: 0.099805
Iteración 170	 Error de entrenamiento: 0.0994323
Iteración 171	 Error de entrenamiento: 0.0990606
Iteración 172	 Error de entrenamiento: 0.0986895
Iteración 173	 Error de entrenamiento: 0.0983188
Iteración 174	 Error de entrenamiento: 0.0979485
Iteración 175	 Error de entrenamiento: 0.0975792
Iteración 176	 Error de entrenamiento: 0.0972117
Iteración 177	 Error de entrenamiento: 0.0968475
Iteración 178	 Error de entrenamiento: 0.0964883
Iteración 179	 Error de entrenamiento: 0.096136
Iteración 180	 Error de entrenamiento: 0.0957912
Iteración 181	 Error de entrenamiento: 0.0954536
Iteración 182	 Error de entrenamiento: 0.0951221
Iteración 183	 Error de entrenamiento: 0.0947955
Iteración 184	 Error de entrenamiento: 0.094473
Iteración 185	 Error de entrenamiento: 0.0941544
Iteración 186	 Error de entrenamiento: 0.0938395
Iteración 187	 Error de entrenamiento: 0.093529
Iteración 188	 Error de entrenamiento: 0.0932238
Iteración 189	 Error de entrenamiento: 0.0929249
Iteración 190	 Error de entrenamiento: 0.0926327
Iteración 191	 Error de entrenamiento: 0.092346
Iteración 192	 Error de entrenamiento: 0.0920631
Iteración 193	 Error de entrenamiento: 0.091782
Iteración 194	 Error de entrenamiento: 0.0915014
Iteración 195	 Error de entrenamiento: 0.0912206
Iteración 196	 Error de entrenamiento: 0.0909393
Iteración 197	 Error de entrenamiento: 0.0906573
Iteración 198	 Error de entrenamiento: 0.0903755
Iteración 199	 Error de entrenamiento: 0.0900947
Iteración 200	 Error de entrenamiento: 0.0898167
Iteración 201	 Error de entrenamiento: 0.0895436
Iteración 202	 Error de entrenamiento: 0.0892768
Iteración 203	 Error de entrenamiento: 0.0890162
Iteración 204	 Error de entrenamiento: 0.0887604
Iteración 205	 Error de entrenamiento: 0.0885078
Iteración 206	 Error de entrenamiento: 0.0882572
Iteración 207	 Error de entrenamiento: 0.0880077
Iteración 208	 Error de entrenamiento: 0.0877594
Iteración 209	 Error de entrenamiento: 0.0875128
