**********
SEMILLA 10
**********
Iteración 133	 Error de entrenamiento: 0.464894
Iteración 134	 Error de entrenamiento: 0.465048
Iteración 135	 Error de entrenamiento: 0.465203
Iteración 136	 Error de entrenamiento: 0.465358
Iteración 137	 Error de entrenamiento: 0.465515
Iteración 138	 Error de entrenamiento: 0.465672
Iteración 139	 Error de entrenamiento: 0.465829
Iteración 140	 Error de entrenamiento: 0.465987
Iteración 141	 Error de entrenamiento: 0.466145
Iteración 142	 Error de entrenamiento: 0.466303
Iteración 143	 Error de entrenamiento: 0.466461
Iteración 144	 Error de entrenamiento: 0.466618
Iteración 145	 Error de entrenamiento: 0.466776
Iteración 146	 Error de entrenamiento: 0.466933
Iteración 147	 Error de entrenamiento: 0.46709
Iteración 148	 Error de entrenamiento: 0.467246
Iteración 149	 Error de entrenamiento: 0.467401
Iteración 150	 Error de entrenamiento: 0.467556
Iteración 151	 Error de entrenamiento: 0.46771
Iteración 152	 Error de entrenamiento: 0.467864
Iteración 153	 Error de entrenamiento: 0.468016
Iteración 154	 Error de entrenamiento: 0.468167
Iteración 155	 Error de entrenamiento: 0.468318
Iteración 156	 Error de entrenamiento: 0.468467
Iteración 157	 Error de entrenamiento: 0.468615
Iteración 158	 Error de entrenamiento: 0.468763
Iteración 159	 Error de entrenamiento: 0.468908
Iteración 160	 Error de entrenamiento: 0.469053
Iteración 161	 Error de entrenamiento: 0.469197
Iteración 162	 Error de entrenamiento: 0.469339
Iteración 163	 Error de entrenamiento: 0.46948
Iteración 164	 Error de entrenamiento: 0.469619
Iteración 165	 Error de entrenamiento: 0.469757
Iteración 166	 Error de entrenamiento: 0.469894
Iteración 167	 Error de entrenamiento: 0.470029
Iteración 168	 Error de entrenamiento: 0.470163
Iteración 169	 Error de entrenamiento: 0.470296
Iteración 170	 Error de entrenamiento: 0.470427
Iteración 171	 Error de entrenamiento: 0.470556
Iteración 172	 Error de entrenamiento: 0.470684
Iteración 173	 Error de entrenamiento: 0.470811
Iteración 174	 Error de entrenamiento: 0.470936
Iteración 175	 Error de entrenamiento: 0.47106
Iteración 176	 Error de entrenamiento: 0.471182
Iteración 177	 Error de entrenamiento: 0.471303
Iteración 178	 Error de entrenamiento: 0.471422
Iteración 179	 Error de entrenamiento: 0.47154
Iteración 180	 Error de entrenamiento: 0.471657
Iteración 181	 Error de entrenamiento: 0.471771
Iteración 182	 Error de entrenamiento: 0.471885
Iteración 183	 Error de entrenamiento: 0.471997
Iteración 184	 Error de entrenamiento: 0.472107
Iteración 185	 Error de entrenamiento: 0.472216
Iteración 186	 Error de entrenamiento: 0.472324
Iteración 187	 Error de entrenamiento: 0.47243
Iteración 188	 Error de entrenamiento: 0.472535
Iteración 189	 Error de entrenamiento: 0.472639
Iteración 190	 Error de entrenamiento: 0.472741
Iteración 191	 Error de entrenamiento: 0.472841
Iteración 192	 Error de entrenamiento: 0.472941
Iteración 193	 Error de entrenamiento: 0.473038
Iteración 194	 Error de entrenamiento: 0.473135
Iteración 195	 Error de entrenamiento: 0.47323
Iteración 196	 Error de entrenamiento: 0.473324
Iteración 197	 Error de entrenamiento: 0.473417
Iteración 198	 Error de entrenamiento: 0.473508
Iteración 199	 Error de entrenamiento: 0.473598
Iteración 200	 Error de entrenamiento: 0.473686
Iteración 201	 Error de entrenamiento: 0.473774
Iteración 202	 Error de entrenamiento: 0.47386
Iteración 203	 Error de entrenamiento: 0.473945
Iteración 204	 Error de entrenamiento: 0.474029
Iteración 205	 Error de entrenamiento: 0.474111
Iteración 206	 Error de entrenamiento: 0.474192
Iteración 207	 Error de entrenamiento: 0.474273
Iteración 208	 Error de entrenamiento: 0.474352
Iteración 209	 Error de entrenamiento: 0.474429
Iteración 210	 Error de entrenamiento: 0.474506
Iteración 211	 Error de entrenamiento: 0.474581
Iteración 212	 Error de entrenamiento: 0.474656
Iteración 213	 Error de entrenamiento: 0.474729
Iteración 214	 Error de entrenamiento: 0.474801
Iteración 215	 Error de entrenamiento: 0.474872
Iteración 216	 Error de entrenamiento: 0.474942
Iteración 217	 Error de entrenamiento: 0.475011
Iteración 218	 Error de entrenamiento: 0.475079
Iteración 219	 Error de entrenamiento: 0.475146
Iteración 220	 Error de entrenamiento: 0.475212
Iteración 221	 Error de entrenamiento: 0.475277
Iteración 222	 Error de entrenamiento: 0.475341
Iteración 223	 Error de entrenamiento: 0.475404
Iteración 224	 Error de entrenamiento: 0.475466
Iteración 225	 Error de entrenamiento: 0.475527
Iteración 226	 Error de entrenamiento: 0.475587
Iteración 227	 Error de entrenamiento: 0.475646
Iteración 228	 Error de entrenamiento: 0.475704
Iteración 229	 Error de entrenamiento: 0.475762
Iteración 230	 Error de entrenamiento: 0.475818
Iteración 231	 Error de entrenamiento: 0.475874
Iteración 232	 Error de entrenamiento: 0.475929
Iteración 233	 Error de entrenamiento: 0.475982
Iteración 234	 Error de entrenamiento: 0.476035
Iteración 235	 Error de entrenamiento: 0.476088
Iteración 236	 Error de entrenamiento: 0.476139
Iteración 237	 Error de entrenamiento: 0.47619
Iteración 238	 Error de entrenamiento: 0.476239
Iteración 239	 Error de entrenamiento: 0.476288
