**********
SEMILLA 10
**********
Iteración 129	 Error de entrenamiento: 0.0366468
Iteración 130	 Error de entrenamiento: 0.0365315
Iteración 131	 Error de entrenamiento: 0.0364237
Iteración 132	 Error de entrenamiento: 0.0363212
Iteración 133	 Error de entrenamiento: 0.036219
Iteración 134	 Error de entrenamiento: 0.0361132
Iteración 135	 Error de entrenamiento: 0.0360041
Iteración 136	 Error de entrenamiento: 0.0358963
Iteración 137	 Error de entrenamiento: 0.0357905
Iteración 138	 Error de entrenamiento: 0.0356818
Iteración 139	 Error de entrenamiento: 0.0355645
Iteración 140	 Error de entrenamiento: 0.0354392
Iteración 141	 Error de entrenamiento: 0.0353122
Iteración 142	 Error de entrenamiento: 0.0351899
Iteración 143	 Error de entrenamiento: 0.035073
Iteración 144	 Error de entrenamiento: 0.0349568
Iteración 145	 Error de entrenamiento: 0.0348377
Iteración 146	 Error de entrenamiento: 0.0347164
Iteración 147	 Error de entrenamiento: 0.0345964
Iteración 148	 Error de entrenamiento: 0.0344812
Iteración 149	 Error de entrenamiento: 0.0343718
Iteración 150	 Error de entrenamiento: 0.0342665
Iteración 151	 Error de entrenamiento: 0.0341632
Iteración 152	 Error de entrenamiento: 0.0340618
Iteración 153	 Error de entrenamiento: 0.0339635
Iteración 154	 Error de entrenamiento: 0.0338692
Iteración 155	 Error de entrenamiento: 0.0337785
Iteración 156	 Error de entrenamiento: 0.0336896
Iteración 157	 Error de entrenamiento: 0.0336005
Iteración 158	 Error de entrenamiento: 0.03351
Iteración 159	 Error de entrenamiento: 0.0334185
Iteración 160	 Error de entrenamiento: 0.0333267
Iteración 161	 Error de entrenamiento: 0.0332354
Iteración 162	 Error de entrenamiento: 0.0331447
Iteración 163	 Error de entrenamiento: 0.0330537
Iteración 164	 Error de entrenamiento: 0.0329619
Iteración 165	 Error de entrenamiento: 0.0328689
Iteración 166	 Error de entrenamiento: 0.0327754
Iteración 167	 Error de entrenamiento: 0.0326816
Iteración 168	 Error de entrenamiento: 0.0325878
Iteración 169	 Error de entrenamiento: 0.0324934
Iteración 170	 Error de entrenamiento: 0.0323979
Iteración 171	 Error de entrenamiento: 0.0323008
Iteración 172	 Error de entrenamiento: 0.0322022
Iteración 173	 Error de entrenamiento: 0.0321024
Iteración 174	 Error de entrenamiento: 0.0320018
Iteración 175	 Error de entrenamiento: 0.0319005
Iteración 176	 Error de entrenamiento: 0.0317984
Iteración 177	 Error de entrenamiento: 0.0316956
Iteración 178	 Error de entrenamiento: 0.0315924
Iteración 179	 Error de entrenamiento: 0.031489
Iteración 180	 Error de entrenamiento: 0.0313855
Iteración 181	 Error de entrenamiento: 0.031282
Iteración 182	 Error de entrenamiento: 0.0311779
Iteración 183	 Error de entrenamiento: 0.0310734
Iteración 184	 Error de entrenamiento: 0.0309683
Iteración 185	 Error de entrenamiento: 0.0308629
Iteración 186	 Error de entrenamiento: 0.0307573
Iteración 187	 Error de entrenamiento: 0.0306517
Iteración 188	 Error de entrenamiento: 0.030546
Iteración 189	 Error de entrenamiento: 0.0304406
Iteración 190	 Error de entrenamiento: 0.0303356
Iteración 191	 Error de entrenamiento: 0.0302311
Iteración 192	 Error de entrenamiento: 0.0301271
Iteración 193	 Error de entrenamiento: 0.0300235
Iteración 194	 Error de entrenamiento: 0.0299203
Iteración 195	 Error de entrenamiento: 0.0298173
Iteración 196	 Error de entrenamiento: 0.0297147
Iteración 197	 Error de entrenamiento: 0.0296123
Iteración 198	 Error de entrenamiento: 0.0295102
Iteración 199	 Error de entrenamiento: 0.0294084
Iteración 200	 Error de entrenamiento: 0.0293068
Iteración 201	 Error de entrenamiento: 0.0292055
Iteración 202	 Error de entrenamiento: 0.0291046
Iteración 203	 Error de entrenamiento: 0.0290041
Iteración 204	 Error de entrenamiento: 0.0289041
Iteración 205	 Error de entrenamiento: 0.0288043
Iteración 206	 Error de entrenamiento: 0.0287049
Iteración 207	 Error de entrenamiento: 0.0286058
Iteración 208	 Error de entrenamiento: 0.0285071
Iteración 209	 Error de entrenamiento: 0.0284087
Iteración 210	 Error de entrenamiento: 0.0283107
Iteración 211	 Error de entrenamiento: 0.028213
Iteración 212	 Error de entrenamiento: 0.0281157
Iteración 213	 Error de entrenamiento: 0.0280187
Iteración 214	 Error de entrenamiento: 0.0279222
Iteración 215	 Error de entrenamiento: 0.0278261
Iteración 216	 Error de entrenamiento: 0.0277306
Iteración 217	 Error de entrenamiento: 0.0276355
Iteración 218	 Error de entrenamiento: 0.027541
Iteración 219	 Error de entrenamiento: 0.027447
Iteración 220	 Error de entrenamiento: 0.0273536
Iteración 221	 Error de entrenamiento: 0.0272608
Iteración 222	 Error de entrenamiento: 0.0271687
Iteración 223	 Error de entrenamiento: 0.0270773
Iteración 224	 Error de entrenamiento: 0.0269865
Iteración 225	 Error de entrenamiento: 0.0268965
Iteración 226	 Error de entrenamiento: 0.0268072
Iteración 227	 Error de entrenamiento: 0.0267188
Iteración 228	 Error de entrenamiento: 0.0266312
Iteración 229	 Error de entrenamiento: 0.0265444
Iteración 230	 Error de entrenamiento: 0.0264585
Iteración 231	 Error de entrenamiento: 0.0263735
Iteración 232	 Error de entrenamiento: 0.0262894
Iteración 233	 Error de entrenamiento: 0.0262063
Iteración 234	 Error de entrenamiento: 0.0261242
Iteración 235	 Error de entrenamiento: 0.026043
Iteración 236	 Error de entrenamiento: 0.0259629
Iteración 237	 Error de entrenamiento: 0.0258839
Iteración 238	 Error de entrenamiento: 0.0258059
Iteración 239	 Error de entrenamiento: 0.0257289
Iteración 240	 Error de entrenamiento: 0.0256531
Iteración 241	 Error de entrenamiento: 0.0255783
Iteración 242	 Error de entrenamiento: 0.0255047
Iteración 243	 Error de entrenamiento: 0.0254322
Iteración 244	 Error de entrenamiento: 0.0253608
Iteración 245	 Error de entrenamiento: 0.0252905
Iteración 246	 Error de entrenamiento: 0.0252214
Iteración 247	 Error de entrenamiento: 0.0251534
Iteración 248	 Error de entrenamiento: 0.0250865
Iteración 249	 Error de entrenamiento: 0.0250208
Iteración 250	 Error de entrenamiento: 0.0249562
Iteración 251	 Error de entrenamiento: 0.0248928
Iteración 252	 Error de entrenamiento: 0.0248304
Iteración 253	 Error de entrenamiento: 0.0247692
Iteración 254	 Error de entrenamiento: 0.0247091
Iteración 255	 Error de entrenamiento: 0.0246501
Iteración 256	 Error de entrenamiento: 0.0245921
Iteración 257	 Error de entrenamiento: 0.0245353
Iteración 258	 Error de entrenamiento: 0.0244795
Iteración 259	 Error de entrenamiento: 0.0244247
Iteración 260	 Error de entrenamiento: 0.024371
Iteración 261	 Error de entrenamiento: 0.0243183
Iteración 262	 Error de entrenamiento: 0.0242666
Iteración 263	 Error de entrenamiento: 0.0242158
Iteración 264	 Error de entrenamiento: 0.0241661
Iteración 265	 Error de entrenamiento: 0.0241172
Iteración 266	 Error de entrenamiento: 0.0240693
Iteración 267	 Error de entrenamiento: 0.0240223
Iteración 268	 Error de entrenamiento: 0.0239762
Iteración 269	 Error de entrenamiento: 0.0239309
Iteración 270	 Error de entrenamiento: 0.0238865
Iteración 271	 Error de entrenamiento: 0.0238429
Iteración 272	 Error de entrenamiento: 0.0238
Iteración 273	 Error de entrenamiento: 0.023758
Iteración 274	 Error de entrenamiento: 0.0237167
Iteración 275	 Error de entrenamiento: 0.0236761
Iteración 276	 Error de entrenamiento: 0.0236362
Iteración 277	 Error de entrenamiento: 0.023597
Iteración 278	 Error de entrenamiento: 0.0235585
Iteración 279	 Error de entrenamiento: 0.0235206
Iteración 280	 Error de entrenamiento: 0.0234833
Iteración 281	 Error de entrenamiento: 0.0234466
Iteración 282	 Error de entrenamiento: 0.0234105
Iteración 283	 Error de entrenamiento: 0.023375
Iteración 284	 Error de entrenamiento: 0.02334
Iteración 285	 Error de entrenamiento: 0.0233055
Iteración 286	 Error de entrenamiento: 0.0232715
Iteración 287	 Error de entrenamiento: 0.023238
Iteración 288	 Error de entrenamiento: 0.0232049
Iteración 289	 Error de entrenamiento: 0.0231723
Iteración 290	 Error de entrenamiento: 0.0231401
Iteración 291	 Error de entrenamiento: 0.0231083
Iteración 292	 Error de entrenamiento: 0.0230769
Iteración 293	 Error de entrenamiento: 0.0230459
Iteración 294	 Error de entrenamiento: 0.0230152
Iteración 295	 Error de entrenamiento: 0.0229849
Iteración 296	 Error de entrenamiento: 0.0229549
Iteración 297	 Error de entrenamiento: 0.0229252
Iteración 298	 Error de entrenamiento: 0.0228958
Iteración 299	 Error de entrenamiento: 0.0228667
Iteración 300	 Error de entrenamiento: 0.0228379
Iteración 301	 Error de entrenamiento: 0.0228093
Iteración 302	 Error de entrenamiento: 0.022781
Iteración 303	 Error de entrenamiento: 0.0227529
Iteración 304	 Error de entrenamiento: 0.0227251
Iteración 305	 Error de entrenamiento: 0.0226974
Iteración 306	 Error de entrenamiento: 0.02267
Iteración 307	 Error de entrenamiento: 0.0226428
Iteración 308	 Error de entrenamiento: 0.0226157
Iteración 309	 Error de entrenamiento: 0.0225888
Iteración 310	 Error de entrenamiento: 0.0225621
Iteración 311	 Error de entrenamiento: 0.0225356
Iteración 312	 Error de entrenamiento: 0.0225092
Iteración 313	 Error de entrenamiento: 0.022483
Iteración 314	 Error de entrenamiento: 0.0224569
Iteración 315	 Error de entrenamiento: 0.022431
Iteración 316	 Error de entrenamiento: 0.0224052
Iteración 317	 Error de entrenamiento: 0.0223795
Iteración 318	 Error de entrenamiento: 0.022354
Iteración 319	 Error de entrenamiento: 0.0223285
Iteración 320	 Error de entrenamiento: 0.0223032
Iteración 321	 Error de entrenamiento: 0.022278
Iteración 322	 Error de entrenamiento: 0.0222528
Iteración 323	 Error de entrenamiento: 0.0222278
Iteración 324	 Error de entrenamiento: 0.0222029
Iteración 325	 Error de entrenamiento: 0.0221781
Iteración 326	 Error de entrenamiento: 0.0221534
Iteración 327	 Error de entrenamiento: 0.0221287
Iteración 328	 Error de entrenamiento: 0.0221042
Iteración 329	 Error de entrenamiento: 0.0220797
Iteración 330	 Error de entrenamiento: 0.0220553
