**********
SEMILLA 10
**********
Iteración 130	 Error de entrenamiento: 0,0957704
Iteración 131	 Error de entrenamiento: 0,0957643
Iteración 132	 Error de entrenamiento: 0,0957527
Iteración 133	 Error de entrenamiento: 0,0957354
Iteración 134	 Error de entrenamiento: 0,0957121
Iteración 135	 Error de entrenamiento: 0,0956826
Iteración 136	 Error de entrenamiento: 0,0956468
Iteración 137	 Error de entrenamiento: 0,0956043
Iteración 138	 Error de entrenamiento: 0,0955552
Iteración 139	 Error de entrenamiento: 0,0954992
Iteración 140	 Error de entrenamiento: 0,0954363
Iteración 141	 Error de entrenamiento: 0,0953663
Iteración 142	 Error de entrenamiento: 0,0952892
Iteración 143	 Error de entrenamiento: 0,095205
Iteración 144	 Error de entrenamiento: 0,0951135
Iteración 145	 Error de entrenamiento: 0,0950149
Iteración 146	 Error de entrenamiento: 0,094909
Iteración 147	 Error de entrenamiento: 0,0947958
Iteración 148	 Error de entrenamiento: 0,0946754
Iteración 149	 Error de entrenamiento: 0,0945477
Iteración 150	 Error de entrenamiento: 0,0944128
Iteración 151	 Error de entrenamiento: 0,0942707
Iteración 152	 Error de entrenamiento: 0,0941213
Iteración 153	 Error de entrenamiento: 0,0939647
Iteración 154	 Error de entrenamiento: 0,0938009
Iteración 155	 Error de entrenamiento: 0,09363
Iteración 156	 Error de entrenamiento: 0,093452
Iteración 157	 Error de entrenamiento: 0,0932669
Iteración 158	 Error de entrenamiento: 0,0930748
Iteración 159	 Error de entrenamiento: 0,0928756
Iteración 160	 Error de entrenamiento: 0,0926696
Iteración 161	 Error de entrenamiento: 0,0924567
Iteración 162	 Error de entrenamiento: 0,092237
Iteración 163	 Error de entrenamiento: 0,0920105
Iteración 164	 Error de entrenamiento: 0,0917775
Iteración 165	 Error de entrenamiento: 0,0915378
Iteración 166	 Error de entrenamiento: 0,0912917
Iteración 167	 Error de entrenamiento: 0,0910393
Iteración 168	 Error de entrenamiento: 0,0907805
Iteración 169	 Error de entrenamiento: 0,0905156
Iteración 170	 Error de entrenamiento: 0,0902446
Iteración 171	 Error de entrenamiento: 0,0899675
Iteración 172	 Error de entrenamiento: 0,0896846
Iteración 173	 Error de entrenamiento: 0,0893959
Iteración 174	 Error de entrenamiento: 0,0891015
Iteración 175	 Error de entrenamiento: 0,0888014
Iteración 176	 Error de entrenamiento: 0,0884958
Iteración 177	 Error de entrenamiento: 0,0881846
Iteración 178	 Error de entrenamiento: 0,0878681
Iteración 179	 Error de entrenamiento: 0,0875461
Iteración 180	 Error de entrenamiento: 0,0872188
Iteración 181	 Error de entrenamiento: 0,0868862
Iteración 182	 Error de entrenamiento: 0,0865482
Iteración 183	 Error de entrenamiento: 0,086205
Iteración 184	 Error de entrenamiento: 0,0858564
Iteración 185	 Error de entrenamiento: 0,0855026
Iteración 186	 Error de entrenamiento: 0,0851433
Iteración 187	 Error de entrenamiento: 0,0847787
Iteración 188	 Error de entrenamiento: 0,0844086
Iteración 189	 Error de entrenamiento: 0,084033
Iteración 190	 Error de entrenamiento: 0,0836518
Iteración 191	 Error de entrenamiento: 0,083265
Iteración 192	 Error de entrenamiento: 0,0828724
Iteración 193	 Error de entrenamiento: 0,0824741
Iteración 194	 Error de entrenamiento: 0,0820698
Iteración 195	 Error de entrenamiento: 0,0816595
Iteración 196	 Error de entrenamiento: 0,0812431
Iteración 197	 Error de entrenamiento: 0,0808206
Iteración 198	 Error de entrenamiento: 0,0803918
Iteración 199	 Error de entrenamiento: 0,0799566
Iteración 200	 Error de entrenamiento: 0,0795151
Iteración 201	 Error de entrenamiento: 0,079067
Iteración 202	 Error de entrenamiento: 0,0786124
Iteración 203	 Error de entrenamiento: 0,0781513
Iteración 204	 Error de entrenamiento: 0,0776835
Iteración 205	 Error de entrenamiento: 0,0772091
Iteración 206	 Error de entrenamiento: 0,0767281
Iteración 207	 Error de entrenamiento: 0,0762404
Iteración 208	 Error de entrenamiento: 0,0757461
Iteración 209	 Error de entrenamiento: 0,0752454
Iteración 210	 Error de entrenamiento: 0,0747381
Iteración 211	 Error de entrenamiento: 0,0742245
Iteración 212	 Error de entrenamiento: 0,0737047
Iteración 213	 Error de entrenamiento: 0,0731787
Iteración 214	 Error de entrenamiento: 0,0726468
Iteración 215	 Error de entrenamiento: 0,0721091
Iteración 216	 Error de entrenamiento: 0,071566
Iteración 217	 Error de entrenamiento: 0,0710175
Iteración 218	 Error de entrenamiento: 0,070464
Iteración 219	 Error de entrenamiento: 0,0699058
Iteración 220	 Error de entrenamiento: 0,0693432
Iteración 221	 Error de entrenamiento: 0,0687765
Iteración 222	 Error de entrenamiento: 0,0682062
Iteración 223	 Error de entrenamiento: 0,0676327
Iteración 224	 Error de entrenamiento: 0,0670563
Iteración 225	 Error de entrenamiento: 0,0664776
Iteración 226	 Error de entrenamiento: 0,0658971
Iteración 227	 Error de entrenamiento: 0,0653152
Iteración 228	 Error de entrenamiento: 0,0647326
Iteración 229	 Error de entrenamiento: 0,0641497
Iteración 230	 Error de entrenamiento: 0,0635672
Iteración 231	 Error de entrenamiento: 0,0629857
Iteración 232	 Error de entrenamiento: 0,0624059
Iteración 233	 Error de entrenamiento: 0,0618283
Iteración 234	 Error de entrenamiento: 0,0612537
Iteración 235	 Error de entrenamiento: 0,0606828
Iteración 236	 Error de entrenamiento: 0,0601162
Iteración 237	 Error de entrenamiento: 0,0595547
Iteración 238	 Error de entrenamiento: 0,0589991
Iteración 239	 Error de entrenamiento: 0,0584501
Iteración 240	 Error de entrenamiento: 0,0579084
Iteración 241	 Error de entrenamiento: 0,0573748
Iteración 242	 Error de entrenamiento: 0,0568501
Iteración 243	 Error de entrenamiento: 0,0563351
Iteración 244	 Error de entrenamiento: 0,0558305
Iteración 245	 Error de entrenamiento: 0,0553371
Iteración 246	 Error de entrenamiento: 0,0548556
Iteración 247	 Error de entrenamiento: 0,0543867
Iteración 248	 Error de entrenamiento: 0,0539312
Iteración 249	 Error de entrenamiento: 0,0534897
Iteración 250	 Error de entrenamiento: 0,0530627
Iteración 251	 Error de entrenamiento: 0,0526508
Iteración 252	 Error de entrenamiento: 0,0522543
Iteración 253	 Error de entrenamiento: 0,0518736
Iteración 254	 Error de entrenamiento: 0,0515087
Iteración 255	 Error de entrenamiento: 0,0511596
Iteración 256	 Error de entrenamiento: 0,050826
Iteración 257	 Error de entrenamiento: 0,0505074
Iteración 258	 Error de entrenamiento: 0,0502033
Iteración 259	 Error de entrenamiento: 0,0499127
Iteración 260	 Error de entrenamiento: 0,0496345
Iteración 261	 Error de entrenamiento: 0,0493675
Iteración 262	 Error de entrenamiento: 0,0491102
Iteración 263	 Error de entrenamiento: 0,0488612
Iteración 264	 Error de entrenamiento: 0,0486189
Iteración 265	 Error de entrenamiento: 0,0483817
Iteración 266	 Error de entrenamiento: 0,048148
Iteración 267	 Error de entrenamiento: 0,0479163
Iteración 268	 Error de entrenamiento: 0,0476854
Iteración 269	 Error de entrenamiento: 0,0474539
Iteración 270	 Error de entrenamiento: 0,0472209
Iteración 271	 Error de entrenamiento: 0,0469852
Iteración 272	 Error de entrenamiento: 0,0467462
Iteración 273	 Error de entrenamiento: 0,0465033
Iteración 274	 Error de entrenamiento: 0,0462559
Iteración 275	 Error de entrenamiento: 0,0460039
Iteración 276	 Error de entrenamiento: 0,045747
Iteración 277	 Error de entrenamiento: 0,0454851
Iteración 278	 Error de entrenamiento: 0,0452184
Iteración 279	 Error de entrenamiento: 0,0449469
Iteración 280	 Error de entrenamiento: 0,044671
Iteración 281	 Error de entrenamiento: 0,0443909
Iteración 282	 Error de entrenamiento: 0,0441071
Iteración 283	 Error de entrenamiento: 0,0438199
Iteración 284	 Error de entrenamiento: 0,04353
Iteración 285	 Error de entrenamiento: 0,0432377
Iteración 286	 Error de entrenamiento: 0,0429438
Iteración 287	 Error de entrenamiento: 0,0426487
Iteración 288	 Error de entrenamiento: 0,0423531
Iteración 289	 Error de entrenamiento: 0,0420576
Iteración 290	 Error de entrenamiento: 0,0417628
Iteración 291	 Error de entrenamiento: 0,0414694
Iteración 292	 Error de entrenamiento: 0,0411779
Iteración 293	 Error de entrenamiento: 0,0408888
Iteración 294	 Error de entrenamiento: 0,0406029
Iteración 295	 Error de entrenamiento: 0,0403205
Iteración 296	 Error de entrenamiento: 0,0400422
Iteración 297	 Error de entrenamiento: 0,0397684
Iteración 298	 Error de entrenamiento: 0,0394995
Iteración 299	 Error de entrenamiento: 0,039236
Iteración 300	 Error de entrenamiento: 0,0389781
Iteración 301	 Error de entrenamiento: 0,0387261
Iteración 302	 Error de entrenamiento: 0,0384802
Iteración 303	 Error de entrenamiento: 0,0382406
Iteración 304	 Error de entrenamiento: 0,0380076
Iteración 305	 Error de entrenamiento: 0,0377811
Iteración 306	 Error de entrenamiento: 0,0375613
Iteración 307	 Error de entrenamiento: 0,0373481
Iteración 308	 Error de entrenamiento: 0,0371416
Iteración 309	 Error de entrenamiento: 0,0369418
Iteración 310	 Error de entrenamiento: 0,0367485
Iteración 311	 Error de entrenamiento: 0,0365616
Iteración 312	 Error de entrenamiento: 0,0363811
Iteración 313	 Error de entrenamiento: 0,0362067
Iteración 314	 Error de entrenamiento: 0,0360384
Iteración 315	 Error de entrenamiento: 0,0358759
Iteración 316	 Error de entrenamiento: 0,035719
Iteración 317	 Error de entrenamiento: 0,0355676
Iteración 318	 Error de entrenamiento: 0,0354214
Iteración 319	 Error de entrenamiento: 0,0352802
Iteración 320	 Error de entrenamiento: 0,0351437
Iteración 321	 Error de entrenamiento: 0,0350118
Iteración 322	 Error de entrenamiento: 0,0348841
Iteración 323	 Error de entrenamiento: 0,0347605
Iteración 324	 Error de entrenamiento: 0,0346407
Iteración 325	 Error de entrenamiento: 0,0345244
Iteración 326	 Error de entrenamiento: 0,0344115
Iteración 327	 Error de entrenamiento: 0,0343017
Iteración 328	 Error de entrenamiento: 0,0341947
Iteración 329	 Error de entrenamiento: 0,0340904
Iteración 330	 Error de entrenamiento: 0,0339885
Iteración 331	 Error de entrenamiento: 0,0338888
Iteración 332	 Error de entrenamiento: 0,0337912
Iteración 333	 Error de entrenamiento: 0,0336953
Iteración 334	 Error de entrenamiento: 0,0336011
Iteración 335	 Error de entrenamiento: 0,0335084
Iteración 336	 Error de entrenamiento: 0,0334169
Iteración 337	 Error de entrenamiento: 0,0333266
Iteración 338	 Error de entrenamiento: 0,0332372
Iteración 339	 Error de entrenamiento: 0,0331487
Iteración 340	 Error de entrenamiento: 0,0330609
Iteración 341	 Error de entrenamiento: 0,0329737
Iteración 342	 Error de entrenamiento: 0,0328869
Iteración 343	 Error de entrenamiento: 0,0328005
Iteración 344	 Error de entrenamiento: 0,0327144
Iteración 345	 Error de entrenamiento: 0,0326285
Iteración 346	 Error de entrenamiento: 0,0325426
Iteración 347	 Error de entrenamiento: 0,0324568
Iteración 348	 Error de entrenamiento: 0,032371
Iteración 349	 Error de entrenamiento: 0,0322851
Iteración 350	 Error de entrenamiento: 0,032199
Iteración 351	 Error de entrenamiento: 0,0321128
Iteración 352	 Error de entrenamiento: 0,0320264
Iteración 353	 Error de entrenamiento: 0,0319397
Iteración 354	 Error de entrenamiento: 0,0318528
Iteración 355	 Error de entrenamiento: 0,0317657
Iteración 356	 Error de entrenamiento: 0,0316782
Iteración 357	 Error de entrenamiento: 0,0315905
Iteración 358	 Error de entrenamiento: 0,0315026
Iteración 359	 Error de entrenamiento: 0,0314143
Iteración 360	 Error de entrenamiento: 0,0313258
Iteración 361	 Error de entrenamiento: 0,0312371
Iteración 362	 Error de entrenamiento: 0,0311481
Iteración 363	 Error de entrenamiento: 0,0310589
Iteración 364	 Error de entrenamiento: 0,0309695
Iteración 365	 Error de entrenamiento: 0,03088
Iteración 366	 Error de entrenamiento: 0,0307903
Iteración 367	 Error de entrenamiento: 0,0307004
Iteración 368	 Error de entrenamiento: 0,0306105
Iteración 369	 Error de entrenamiento: 0,0305205
Iteración 370	 Error de entrenamiento: 0,0304305
Iteración 371	 Error de entrenamiento: 0,0303405
Iteración 372	 Error de entrenamiento: 0,0302504
Iteración 373	 Error de entrenamiento: 0,0301605
Iteración 374	 Error de entrenamiento: 0,0300706
Iteración 375	 Error de entrenamiento: 0,0299808
Iteración 376	 Error de entrenamiento: 0,0298912
Iteración 377	 Error de entrenamiento: 0,0298017
Iteración 378	 Error de entrenamiento: 0,0297125
Iteración 379	 Error de entrenamiento: 0,0296234
Iteración 380	 Error de entrenamiento: 0,0295346
Iteración 381	 Error de entrenamiento: 0,0294461
Iteración 382	 Error de entrenamiento: 0,0293579
Iteración 383	 Error de entrenamiento: 0,02927
Iteración 384	 Error de entrenamiento: 0,0291824
Iteración 385	 Error de entrenamiento: 0,0290952
Iteración 386	 Error de entrenamiento: 0,0290084
Iteración 387	 Error de entrenamiento: 0,028922
Iteración 388	 Error de entrenamiento: 0,028836
Iteración 389	 Error de entrenamiento: 0,0287505
Iteración 390	 Error de entrenamiento: 0,0286654
Iteración 391	 Error de entrenamiento: 0,0285808
Iteración 392	 Error de entrenamiento: 0,0284967
Iteración 393	 Error de entrenamiento: 0,0284131
Iteración 394	 Error de entrenamiento: 0,02833
Iteración 395	 Error de entrenamiento: 0,0282474
Iteración 396	 Error de entrenamiento: 0,0281653
Iteración 397	 Error de entrenamiento: 0,0280838
Iteración 398	 Error de entrenamiento: 0,0280029
Iteración 399	 Error de entrenamiento: 0,0279225
Iteración 400	 Error de entrenamiento: 0,0278427
Iteración 401	 Error de entrenamiento: 0,0277635
Iteración 402	 Error de entrenamiento: 0,0276848
Iteración 403	 Error de entrenamiento: 0,0276068
Iteración 404	 Error de entrenamiento: 0,0275293
Iteración 405	 Error de entrenamiento: 0,0274525
Iteración 406	 Error de entrenamiento: 0,0273762
Iteración 407	 Error de entrenamiento: 0,0273006
Iteración 408	 Error de entrenamiento: 0,0272256
Iteración 409	 Error de entrenamiento: 0,0271512
Iteración 410	 Error de entrenamiento: 0,0270774
Iteración 411	 Error de entrenamiento: 0,0270043
Iteración 412	 Error de entrenamiento: 0,0269318
Iteración 413	 Error de entrenamiento: 0,0268599
Iteración 414	 Error de entrenamiento: 0,0267887
Iteración 415	 Error de entrenamiento: 0,0267181
Iteración 416	 Error de entrenamiento: 0,0266481
Iteración 417	 Error de entrenamiento: 0,0265788
Iteración 418	 Error de entrenamiento: 0,0265102
Iteración 419	 Error de entrenamiento: 0,0264422
Iteración 420	 Error de entrenamiento: 0,0263748
Iteración 421	 Error de entrenamiento: 0,0263081
Iteración 422	 Error de entrenamiento: 0,026242
Iteración 423	 Error de entrenamiento: 0,0261767
Iteración 424	 Error de entrenamiento: 0,0261119
Iteración 425	 Error de entrenamiento: 0,0260479
Iteración 426	 Error de entrenamiento: 0,0259845
Iteración 427	 Error de entrenamiento: 0,0259217
Iteración 428	 Error de entrenamiento: 0,0258597
Iteración 429	 Error de entrenamiento: 0,0257983
Iteración 430	 Error de entrenamiento: 0,0257376
Iteración 431	 Error de entrenamiento: 0,0256775
Iteración 432	 Error de entrenamiento: 0,0256181
Iteración 433	 Error de entrenamiento: 0,0255595
Iteración 434	 Error de entrenamiento: 0,0255015
Iteración 435	 Error de entrenamiento: 0,0254441
Iteración 436	 Error de entrenamiento: 0,0253875
