**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,733383
Iteración 2	 Error de entrenamiento: 0,587817
Iteración 3	 Error de entrenamiento: 0,477708
Iteración 4	 Error de entrenamiento: 0,405892
Iteración 5	 Error de entrenamiento: 0,333244
Iteración 6	 Error de entrenamiento: 0,283022
Iteración 7	 Error de entrenamiento: 0,247554
Iteración 8	 Error de entrenamiento: 0,221988
Iteración 9	 Error de entrenamiento: 0,200127
Iteración 10	 Error de entrenamiento: 0,179724
Iteración 11	 Error de entrenamiento: 0,164394
Iteración 12	 Error de entrenamiento: 0,152017
Iteración 13	 Error de entrenamiento: 0,141508
Iteración 14	 Error de entrenamiento: 0,132023
Iteración 15	 Error de entrenamiento: 0,123213
Iteración 16	 Error de entrenamiento: 0,115372
Iteración 17	 Error de entrenamiento: 0,108395
Iteración 18	 Error de entrenamiento: 0,102118
Iteración 19	 Error de entrenamiento: 0,0963956
Iteración 20	 Error de entrenamiento: 0,091166
Iteración 21	 Error de entrenamiento: 0,0864119
Iteración 22	 Error de entrenamiento: 0,0820957
Iteración 23	 Error de entrenamiento: 0,0781707
Iteración 24	 Error de entrenamiento: 0,0745969
Iteración 25	 Error de entrenamiento: 0,071345
Iteración 26	 Error de entrenamiento: 0,0683914
Iteración 27	 Error de entrenamiento: 0,0657138
Iteración 28	 Error de entrenamiento: 0,0632903
Iteración 29	 Error de entrenamiento: 0,0611006
Iteración 30	 Error de entrenamiento: 0,0591264
Iteración 31	 Error de entrenamiento: 0,0573512
Iteración 32	 Error de entrenamiento: 0,0557598
Iteración 33	 Error de entrenamiento: 0,0543383
Iteración 34	 Error de entrenamiento: 0,0530735
Iteración 35	 Error de entrenamiento: 0,0519536
Iteración 36	 Error de entrenamiento: 0,0509674
Iteración 37	 Error de entrenamiento: 0,0501045
Iteración 38	 Error de entrenamiento: 0,0493556
Iteración 39	 Error de entrenamiento: 0,0487116
Iteración 40	 Error de entrenamiento: 0,0481645
Iteración 41	 Error de entrenamiento: 0,0477067
Iteración 42	 Error de entrenamiento: 0,047331
Iteración 43	 Error de entrenamiento: 0,047031
Iteración 44	 Error de entrenamiento: 0,0468005
Iteración 45	 Error de entrenamiento: 0,0466339
Iteración 46	 Error de entrenamiento: 0,046526
Iteración 47	 Error de entrenamiento: 0,0464719
Iteración 48	 Error de entrenamiento: 0,046467
Iteración 49	 Error de entrenamiento: 0,0465072
Iteración 50	 Error de entrenamiento: 0,0465885
Iteración 51	 Error de entrenamiento: 0,0467073
Iteración 52	 Error de entrenamiento: 0,0468602
Iteración 53	 Error de entrenamiento: 0,0470441
Iteración 54	 Error de entrenamiento: 0,047256
Iteración 55	 Error de entrenamiento: 0,0474931
Iteración 56	 Error de entrenamiento: 0,0477529
Iteración 57	 Error de entrenamiento: 0,0480331
Iteración 58	 Error de entrenamiento: 0,0483314
Iteración 59	 Error de entrenamiento: 0,0486457
Iteración 60	 Error de entrenamiento: 0,0489741
Iteración 61	 Error de entrenamiento: 0,0493148
Iteración 62	 Error de entrenamiento: 0,0496661
Iteración 63	 Error de entrenamiento: 0,0500265
Iteración 64	 Error de entrenamiento: 0,0503943
Iteración 65	 Error de entrenamiento: 0,0507684
Iteración 66	 Error de entrenamiento: 0,0511473
Iteración 67	 Error de entrenamiento: 0,0515298
Iteración 68	 Error de entrenamiento: 0,0519149
Iteración 69	 Error de entrenamiento: 0,0523014
Iteración 70	 Error de entrenamiento: 0,0526885
Iteración 71	 Error de entrenamiento: 0,0530751
Iteración 72	 Error de entrenamiento: 0,0534604
Iteración 73	 Error de entrenamiento: 0,0538436
Iteración 74	 Error de entrenamiento: 0,0542239
Iteración 75	 Error de entrenamiento: 0,0546008
