**********
SEMILLA 10
**********
Iteración 114	 Error de entrenamiento: 0,0494503
Iteración 115	 Error de entrenamiento: 0,0494116
Iteración 116	 Error de entrenamiento: 0,0493743
Iteración 117	 Error de entrenamiento: 0,049338
Iteración 118	 Error de entrenamiento: 0,0493028
Iteración 119	 Error de entrenamiento: 0,0492685
Iteración 120	 Error de entrenamiento: 0,049235
Iteración 121	 Error de entrenamiento: 0,0492023
Iteración 122	 Error de entrenamiento: 0,0491701
Iteración 123	 Error de entrenamiento: 0,0491386
Iteración 124	 Error de entrenamiento: 0,0491076
Iteración 125	 Error de entrenamiento: 0,049077
Iteración 126	 Error de entrenamiento: 0,0490468
Iteración 127	 Error de entrenamiento: 0,0490169
Iteración 128	 Error de entrenamiento: 0,0489873
Iteración 129	 Error de entrenamiento: 0,0489579
Iteración 130	 Error de entrenamiento: 0,0489287
Iteración 131	 Error de entrenamiento: 0,0488997
Iteración 132	 Error de entrenamiento: 0,0488708
Iteración 133	 Error de entrenamiento: 0,048842
Iteración 134	 Error de entrenamiento: 0,0488133
Iteración 135	 Error de entrenamiento: 0,0487846
Iteración 136	 Error de entrenamiento: 0,048756
Iteración 137	 Error de entrenamiento: 0,0487273
Iteración 138	 Error de entrenamiento: 0,0486987
Iteración 139	 Error de entrenamiento: 0,04867
Iteración 140	 Error de entrenamiento: 0,0486413
Iteración 141	 Error de entrenamiento: 0,0486125
Iteración 142	 Error de entrenamiento: 0,0485837
Iteración 143	 Error de entrenamiento: 0,0485548
Iteración 144	 Error de entrenamiento: 0,0485259
Iteración 145	 Error de entrenamiento: 0,0484968
Iteración 146	 Error de entrenamiento: 0,0484677
Iteración 147	 Error de entrenamiento: 0,0484385
Iteración 148	 Error de entrenamiento: 0,0484092
Iteración 149	 Error de entrenamiento: 0,0483799
Iteración 150	 Error de entrenamiento: 0,0483504
Iteración 151	 Error de entrenamiento: 0,0483208
Iteración 152	 Error de entrenamiento: 0,0482912
Iteración 153	 Error de entrenamiento: 0,0482615
Iteración 154	 Error de entrenamiento: 0,0482316
Iteración 155	 Error de entrenamiento: 0,0482017
Iteración 156	 Error de entrenamiento: 0,0481717
Iteración 157	 Error de entrenamiento: 0,0481417
Iteración 158	 Error de entrenamiento: 0,0481115
Iteración 159	 Error de entrenamiento: 0,0480813
Iteración 160	 Error de entrenamiento: 0,048051
Iteración 161	 Error de entrenamiento: 0,0480207
Iteración 162	 Error de entrenamiento: 0,0479903
Iteración 163	 Error de entrenamiento: 0,0479598
Iteración 164	 Error de entrenamiento: 0,0479293
Iteración 165	 Error de entrenamiento: 0,0478987
Iteración 166	 Error de entrenamiento: 0,0478681
Iteración 167	 Error de entrenamiento: 0,0478375
Iteración 168	 Error de entrenamiento: 0,0478068
Iteración 169	 Error de entrenamiento: 0,0477761
Iteración 170	 Error de entrenamiento: 0,0477454
Iteración 171	 Error de entrenamiento: 0,0477146
Iteración 172	 Error de entrenamiento: 0,0476838
Iteración 173	 Error de entrenamiento: 0,0476531
Iteración 174	 Error de entrenamiento: 0,0476223
Iteración 175	 Error de entrenamiento: 0,0475915
Iteración 176	 Error de entrenamiento: 0,0475607
Iteración 177	 Error de entrenamiento: 0,0475299
Iteración 178	 Error de entrenamiento: 0,0474991
Iteración 179	 Error de entrenamiento: 0,0474684
Iteración 180	 Error de entrenamiento: 0,0474376
Iteración 181	 Error de entrenamiento: 0,0474069
Iteración 182	 Error de entrenamiento: 0,0473762
Iteración 183	 Error de entrenamiento: 0,0473455
Iteración 184	 Error de entrenamiento: 0,0473149
Iteración 185	 Error de entrenamiento: 0,0472843
Iteración 186	 Error de entrenamiento: 0,0472537
Iteración 187	 Error de entrenamiento: 0,0472232
Iteración 188	 Error de entrenamiento: 0,0471927
Iteración 189	 Error de entrenamiento: 0,0471623
Iteración 190	 Error de entrenamiento: 0,047132
Iteración 191	 Error de entrenamiento: 0,0471017
Iteración 192	 Error de entrenamiento: 0,0470714
Iteración 193	 Error de entrenamiento: 0,0470413
Iteración 194	 Error de entrenamiento: 0,0470112
Iteración 195	 Error de entrenamiento: 0,0469811
Iteración 196	 Error de entrenamiento: 0,0469512
Iteración 197	 Error de entrenamiento: 0,0469214
Iteración 198	 Error de entrenamiento: 0,0468916
Iteración 199	 Error de entrenamiento: 0,046862
Iteración 200	 Error de entrenamiento: 0,0468324
Iteración 201	 Error de entrenamiento: 0,046803
Iteración 202	 Error de entrenamiento: 0,0467737
Iteración 203	 Error de entrenamiento: 0,0467445
Iteración 204	 Error de entrenamiento: 0,0467154
Iteración 205	 Error de entrenamiento: 0,0466865
Iteración 206	 Error de entrenamiento: 0,0466577
Iteración 207	 Error de entrenamiento: 0,0466291
Iteración 208	 Error de entrenamiento: 0,0466007
Iteración 209	 Error de entrenamiento: 0,0465724
Iteración 210	 Error de entrenamiento: 0,0465443
Iteración 211	 Error de entrenamiento: 0,0465164
Iteración 212	 Error de entrenamiento: 0,0464888
Iteración 213	 Error de entrenamiento: 0,0464613
Iteración 214	 Error de entrenamiento: 0,0464341
Iteración 215	 Error de entrenamiento: 0,0464071
Iteración 216	 Error de entrenamiento: 0,0463804
Iteración 217	 Error de entrenamiento: 0,0463539
