**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,655626
Iteración 2	 Error de entrenamiento: 0,587955
Iteración 3	 Error de entrenamiento: 0,610925
Iteración 4	 Error de entrenamiento: 0,447618
Iteración 5	 Error de entrenamiento: 0,360365
Iteración 6	 Error de entrenamiento: 0,329737
Iteración 7	 Error de entrenamiento: 0,326548
Iteración 8	 Error de entrenamiento: 0,29945
Iteración 9	 Error de entrenamiento: 0,245675
Iteración 10	 Error de entrenamiento: 0,223479
Iteración 11	 Error de entrenamiento: 0,206211
Iteración 12	 Error de entrenamiento: 0,199857
Iteración 13	 Error de entrenamiento: 0,17355
Iteración 14	 Error de entrenamiento: 0,155163
Iteración 15	 Error de entrenamiento: 0,165431
Iteración 16	 Error de entrenamiento: 0,146002
Iteración 17	 Error de entrenamiento: 0,128031
Iteración 18	 Error de entrenamiento: 0,119792
Iteración 19	 Error de entrenamiento: 0,108708
Iteración 20	 Error de entrenamiento: 0,108319
Iteración 21	 Error de entrenamiento: 0,0850824
Iteración 22	 Error de entrenamiento: 0,0913788
Iteración 23	 Error de entrenamiento: 0,0721258
Iteración 24	 Error de entrenamiento: 0,0803807
Iteración 25	 Error de entrenamiento: 0,0638053
Iteración 26	 Error de entrenamiento: 0,0680355
Iteración 27	 Error de entrenamiento: 0,0598266
Iteración 28	 Error de entrenamiento: 0,0609124
Iteración 29	 Error de entrenamiento: 0,0572452
Iteración 30	 Error de entrenamiento: 0,0555017
Iteración 31	 Error de entrenamiento: 0,0541929
Iteración 32	 Error de entrenamiento: 0,0528029
Iteración 33	 Error de entrenamiento: 0,0519641
Iteración 34	 Error de entrenamiento: 0,0507933
Iteración 35	 Error de entrenamiento: 0,0498825
Iteración 36	 Error de entrenamiento: 0,0491033
Iteración 37	 Error de entrenamiento: 0,0484219
Iteración 38	 Error de entrenamiento: 0,0478091
Iteración 39	 Error de entrenamiento: 0,0472349
Iteración 40	 Error de entrenamiento: 0,0467239
Iteración 41	 Error de entrenamiento: 0,0462788
Iteración 42	 Error de entrenamiento: 0,04589
Iteración 43	 Error de entrenamiento: 0,0455486
Iteración 44	 Error de entrenamiento: 0,0452493
Iteración 45	 Error de entrenamiento: 0,0449898
Iteración 46	 Error de entrenamiento: 0,0447682
Iteración 47	 Error de entrenamiento: 0,0445812
Iteración 48	 Error de entrenamiento: 0,0444258
Iteración 49	 Error de entrenamiento: 0,044299
Iteración 50	 Error de entrenamiento: 0,044198
Iteración 51	 Error de entrenamiento: 0,0441207
Iteración 52	 Error de entrenamiento: 0,0440648
Iteración 53	 Error de entrenamiento: 0,0440282
Iteración 54	 Error de entrenamiento: 0,0440091
Iteración 55	 Error de entrenamiento: 0,0440056
Iteración 56	 Error de entrenamiento: 0,044016
Iteración 57	 Error de entrenamiento: 0,0440387
Iteración 58	 Error de entrenamiento: 0,0440723
Iteración 59	 Error de entrenamiento: 0,0441154
Iteración 60	 Error de entrenamiento: 0,0441667
Iteración 61	 Error de entrenamiento: 0,0442251
Iteración 62	 Error de entrenamiento: 0,0442895
Iteración 63	 Error de entrenamiento: 0,0443589
Iteración 64	 Error de entrenamiento: 0,0444323
Iteración 65	 Error de entrenamiento: 0,0445088
Iteración 66	 Error de entrenamiento: 0,0445878
Iteración 67	 Error de entrenamiento: 0,0446683
Iteración 68	 Error de entrenamiento: 0,0447499
Iteración 69	 Error de entrenamiento: 0,0448317
Iteración 70	 Error de entrenamiento: 0,0449134
