Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
vehicle,1,1,"weka,classifiers,functions,RBFNetwork","'-B 2 -S 1 -R 1,0E-8 -M -1 -W 0,1'",-3669814959712680000,"2,02E+007",676,170,108,62,0,"63,5294117647","36,4705882353",0,"0,5143304765","0,2204417597","0,3365759244","58,798032815","77,7351566628","339,9400974187","198,6314327567","141,308664662","1,9996476319","1,1684201927","0,8312274392","170,3475129626","1,0020441939","8520,1407529678","0,8292682927",34,"0,1472868217",19,"0,8527131783",110,"0,1707317073",7,"0,641509434","0,8292682927","0,7234042553","0,9168084704","0,6352941176","0,1209361059","0,8790638941","0,3647058824","0,6416471397","0,6352941176","0,6334107994","0,8687449813",576,12,"0,53","0,01",171262,125515,33929,?
vehicle,1,2,"weka,classifiers,functions,RBFNetwork","'-B 2 -S 1 -R 1,0E-8 -M -1 -W 0,1'",-3669814959712680000,"2,02E+007",677,169,108,61,0,"63,9053254438","36,0946745562",0,"0,5184510463","0,2238228107","0,3513442084","59,7032018202","81,1521527317","337,8854455582","462,1067856316","-124,2213400733","1,9993221631","2,7343596783","-0,7350375152","168,3790441698","0,9963257051","8421,3303208141",825,33,"0,0852713178",11,"0,9147286822",118,175,7,"0,75",825,"0,7857142857","0,9474806202","0,6390532544","0,1208505065","0,8791494935","0,3609467456","0,6184997993","0,6390532544","0,6249271347","0,8504195864",289,5,"0,29","0,01",171434,125696,33748,?
vehicle,1,3,"weka,classifiers,functions,RBFNetwork","'-B 2 -S 1 -R 1,0E-8 -M -1 -W 0,1'",-3669814959712680000,"2,02E+007",677,169,108,61,0,"63,9053254438","36,0946745562",0,"0,5184510463","0,2188590672","0,3350364228","58,378480722","77,3841003701","337,8984820639","199,4317040724","138,4667779914","1,9993993022","1,1800692549","0,8193300473","175,4057123781","1,0379036235","8772,8753041003","0,8048780488",33,"0,078125",10,"0,921875",118,"0,1951219512",8,"0,7674418605","0,8048780488","0,7857142857","0,9169207317","0,6390532544","0,1200919449","0,8799080551","0,3609467456","0,6317093983","0,6390532544","0,6348693384","0,8688154057",129,4,"0,13",0,171434,125696,33748,?
vehicle,1,4,"weka,classifiers,functions,RBFNetwork","'-B 2 -S 1 -R 1,0E-8 -M -1 -W 0,1'",-3669814959712680000,"2,02E+007",677,169,117,52,0,"69,2307692308","30,7692307692",0,"0,5894800766","0,2021194889","0,3241435734","53,9133646021","74,8681549605","337,8984820639","197,6307125186","140,2677695452","1,9993993022","1,1694125001","0,829986802","186,0437933034","1,1008508479","9304,9364107004","0,8048780488",33,"0,1171875",15,"0,8828125",113,"0,1951219512",8,"0,6875","0,8048780488","0,7415730337","0,921875","0,6923076923","0,1019783272","0,8980216728","0,3076923077","0,6805129043","0,6923076923","0,682732324","0,8925068153",87,3,"0,09","0,01",171434,125696,33748,?
vehicle,1,5,"weka,classifiers,functions,RBFNetwork","'-B 2 -S 1 -R 1,0E-8 -M -1 -W 0,1'",-3669814959712680000,"2,02E+007",677,169,105,64,0,"62,1301775148","37,8698224852",0,"0,4953340799","0,2317866233","0,3567394496","61,8260613468","82,3957044762","337,9087753745","246,6140197149","91,2947556596","1,9994602093","1,4592545545","0,5402056548","159,5790867471","0,9442549512","7981,3586831144","0,8536585366",35,"0,203125",26,"0,796875",102,"0,1463414634",6,"0,5737704918","0,8536585366","0,6862745098","0,8765243902","0,6213017751","0,1255478069","0,8744521931","0,3786982249","0,6196721311","0,6213017751","0,6096362239","0,8428127348","0,1",4,"0,1",0,171434,125696,33748,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Media,"64,5402018796",,Media,"0,5272093451",Media,"0,3407679157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"0,8646599047",,,,,,,,
