Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureKNN
vehicle,1,1,"weka,classifiers,lazy,IBk","'-K 3 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,676,170,122,48,0,"71,7647058824","28,2352941176",0,"0,6237377231","0,1425519031","0,374636502","38,0226119059","86,525580317","339,9400974187","452,4289922673","-112,4888948485","1,9996476319","2,6613470133","-0,6616993815","223,3173016529","1,3136311862","11169,4900005534","0,8780487805",36,"0,0465116279",6,"0,9534883721",123,"0,1219512195",5,"0,8571428571","0,8780487805","0,8674698795","0,9157685763","0,7176470588","0,094328353","0,905671647","0,2823529412","0,7142296919","0,7176470588","0,7134717683","0,8116593529",1,104,0,"0,1",127657,125515,33929,?,1
vehicle,1,2,"weka,classifiers,lazy,IBk","'-K 3 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,109,60,0,"64,4970414201","35,5029585799",0,"0,5264116576","0,1916825378","0,3509502376","51,130004165","81,0611548545","337,8854455582","317,1155693349","20,7698762233","1,9993221631","1,8764234872","0,1228986759","192,4180812575","1,1385685282","9623,6216920969","0,95",38,"0,0620155039",8,"0,9379844961",121,"0,05",2,"0,8260869565","0,95","0,8837209302","0,9870155039","0,6449704142","0,1191953919","0,8808046081","0,3550295858","0,6072243748","0,6449704142","0,620601115","0,8364724586",0,71,0,"0,08",127854,125696,33748,?,3
vehicle,1,3,"weka,classifiers,lazy,IBk","'-K 3 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,112,57,0,"66,2721893491","33,7278106509",0,"0,5495651361","0,1739659509","0,340961881","46,403688183","78,7527165033","337,8984820639","347,7950061303","-9,8965240665","1,9993993022","2,0579586162","-0,058559314","204,3100642497","1,2089352914","10218,5196407461","0,8536585366",35,"0,0859375",11,"0,9140625",117,"0,1463414634",6,"0,7608695652","0,8536585366","0,8045977011","0,9408346037","0,6627218935","0,1127645522","0,8872354478","0,3372781065","0,6371741104","0,6627218935","0,6428289088","0,8480038274",1,72,0,"0,08",127854,125696,33748,?,3
vehicle,1,4,"weka,classifiers,lazy,IBk","'-K 3 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,121,48,0,"71,5976331361","28,4023668639",0,"0,6204557152","0,1382733048","0,3038378256","36,8830296247","70,1780916761","337,8984820639","244,7519379519","93,1465441119","1,9993993022","1,4482363192","0,5511629829","236,9060030777","1,4018106691","11848,7978277095","0,9268292683",38,"0,078125",10,"0,921875",118,"0,0731707317",3,"0,7916666667","0,9268292683","0,8539325843","0,9483612805","0,7159763314","0,0954465695","0,9045534305","0,2840236686","0,733884526","0,7159763314","0,6903501569","0,8903773481",1,"0,07",0,"0,07",127846,125696,33748,?,2
vehicle,1,5,"weka,classifiers,lazy,IBk","'-K 3 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,111,58,0,"65,6804733728","34,3195266272",0,"0,5425824817","0,1808557347","0,3376040084","48,2409104946","77,9760134026","337,9087753745","300,6213679987","37,2874073758","1,9994602093","1,7788246627","0,2206355466","200,2274563292","1,1847778481","10014,3896029637","0,9268292683",38,"0,1484375",19,"0,8515625",109,"0,0731707317",3,"0,6666666667","0,9268292683","0,7755102041","0,9252096037","0,6568047337","0,1143602893","0,8856397107","0,3431952663","0,637964202","0,6568047337","0,6377498481","0,8560324739",1,94,0,"0,1",127854,125696,33748,?,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recall,"0,6796240863",,,,,,,,,,,
,,,,,,,,,,,Accuracy,,,,,,,,,,,,,,,,,,,,Accuracy,"0,9352941176",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Media,"67,9624086321",,,,,,,,,,,,,,,,,,,,"0,9408284024",,,,,Recall Media,"0,9070731707",Media,"0,9434379136",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Desv,"3,4548936757",,Media,"0,5725505427",Media,"0,3415980909",,,,,,,,,,,,,,,"0,899408284",,,,,,,Desv tipica,"0,027513118",,,,,,,,,,,,,,,,,
