Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
vehicle,1,1,"weka,classifiers,functions,MultilayerPerceptron","'-L 0,3 -M 0,2 -N 500 -V 0 -S 0 -E 20 -H a'",-5990607817048210000,"2,02E+007",676,170,137,33,0,"80,5882352941","19,4117647059",0,"0,7411764706","0,1096502304","0,2793879979","29,2468081138","64,527104321","339,9400974187","163,5575231406","176,3825742782","1,9996476319","0,9621030773","1,0375445546","255,1434129671","1,5008436057","12761,312172188","0,8780487805",36,"0,015503876",2,"0,984496124",127,"0,1219512195",5,"0,9473684211","0,8780487805","0,9113924051","0,9913027037","0,8058823529","0,0650598713","0,9349401287","0,1941176471","0,8083064357","0,8058823529","0,8048197925","0,9435753037",1597,5,"1,59","0,01",29797,125515,33929,?
vehicle,1,2,"weka,classifiers,functions,MultilayerPerceptron","'-L 0,3 -M 0,2 -N 500 -V 0 -S 0 -E 20 -H a'",-5990607817048210000,"2,02E+007",677,169,128,41,0,"75,7396449704","24,2603550296",0,"0,6768190299","0,1287682141","0,2962000431","34,348039195","68,4151625724","337,8854455582","234,4702464267","103,4151991315","1,9993221631","1,3873979079","0,6119242552","239,2753004597","1,4158301802","11967,144443174",1,40,"0,0697674419",9,"0,9302325581",120,0,0,"0,8163265306",1,"0,8988764045","0,9972868217","0,7573964497","0,0803862388","0,9196137612","0,2426035503","0,7478626663","0,7573964497","0,7479323492","0,9198849836",1603,3,"1,53",0,29797,125696,33748,?
vehicle,1,3,"weka,classifiers,functions,MultilayerPerceptron","'-L 0,3 -M 0,2 -N 500 -V 0 -S 0 -E 20 -H a'",-5990607817048210000,"2,02E+007",677,169,140,29,0,"82,8402366864","17,1597633136",0,"0,7712058261","0,0980734157","0,2577156076","26,1601088005","59,5251414142","337,8984820639","161,8184021437","176,0800799202","1,9993993022","0,9575053381","1,041893964","265,0099298791","1,568106094","13254,4090933907","0,9024390244",37,"0,0078125",1,"0,9921875",127,"0,0975609756",4,"0,9736842105","0,9024390244","0,9367088608","0,9658917683","0,8284023669","0,05657697","0,94342303","0,1715976331","0,8393310175","0,8284023669","0,8326283496","0,9485675131",1522,2,"1,53",0,29797,125696,33748,?
vehicle,1,4,"weka,classifiers,functions,MultilayerPerceptron","'-L 0,3 -M 0,2 -N 500 -V 0 -S 0 -E 20 -H a'",-5990607817048210000,"2,02E+007",677,169,144,25,0,"85,2071005917","14,7928994083",0,"0,8026530898","0,0941716039","0,2511252178","25,1193392859","58,002944576","337,8984820639","129,4412578462","208,4572242177","1,9993993022","0,7659246026","1,2334746995","266,9702863939","1,5797058367","13352,4558617828","0,9512195122",39,"0,0078125",1,"0,9921875",127,"0,0487804878",2,975,"0,9512195122","0,962962963","0,9990472561","0,8520710059","0,0491831091","0,9508168909","0,1479289941","0,8552976725","0,8520710059","0,8531250236","0,9528140791",1553,2,"1,56",0,29797,125696,33748,?
vehicle,1,5,"weka,classifiers,functions,MultilayerPerceptron","'-L 0,3 -M 0,2 -N 500 -V 0 -S 0 -E 20 -H a'",-5990607817048210000,"2,02E+007",677,169,140,29,0,"82,8402366864","17,1597633136",0,"0,7709384932","0,1046734631","0,2776653349","27,9202822874","64,1320462515","337,9087753745","180,9637981285","156,944977246","1,9994602093","1,0707917049","0,9286685044","257,3948855434","1,52304666","12873,622393741","0,9512195122",39,"0,0546875",7,"0,9453125",121,"0,0487804878",2,"0,847826087","0,9512195122","0,8965517241","0,974847561","0,8284023669","0,0579013748","0,9420986252","0,1715976331","0,8305376897","0,8284023669","0,8239224142","0,947792195",1586,1,"1,55",0,29797,125696,33748,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Media,"81,4430908458",,Media,"0,7525585819",Media,"0,2724188403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"0,9425268149",,,,,,,,
