Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureKNN
vehicle,1,1,"weka,classifiers,lazy,IBk","'-K 1 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,676,170,122,48,0,"71,7647058824","28,2352941176",0,"0,6237377231","0,1425519031","0,374636502","38,0226119059","86,525580317","339,9400974187","452,4289922673","-112,4888948485","1,9996476319","2,6613470133","-0,6616993815","223,3173016529","1,3136311862","11169,4900005534","0,8780487805",36,"0,0465116279",6,"0,9534883721",123,"0,1219512195",5,"0,8571428571","0,8780487805","0,8674698795","0,9157685763","0,7176470588","0,094328353","0,905671647","0,2823529412","0,7142296919","0,7176470588","0,7134717683","0,8116593529",1,55,0,"0,06",127657,125515,33929,?,1
vehicle,1,2,"weka,classifiers,lazy,IBk","'-K 1 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,118,51,0,"69,8224852071","30,1775147929",0,"0,5976190476","0,1522039465","0,3873083683","40,5993603115","89,4590179909","337,8854455582","480,738664324","-142,8532187657","1,9993221631","2,8446074812","-0,8452853181","214,0694557083","1,2666831699","10706,4962092231","0,9",36,"0,0697674419",9,"0,9302325581",120,"0,1",4,"0,8","0,9","0,8470588235","0,9151162791","0,6982248521","0,1006442124","0,8993557876","0,3017751479","0,6866079467","0,6982248521","0,6910242388","0,7987903198",0,56,0,"0,05",127838,125696,33748,?,1
vehicle,1,3,"weka,classifiers,lazy,IBk","'-K 1 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,114,55,0,"67,4556213018","32,5443786982",0,"0,5654105106","0,1639687546","0,4022096223","43,737035449","92,899242193","337,8984820639","518,3592301765","-180,4607481126","1,9993993022","3,0672143797","-1,0678150776","204,1735462881","1,2081274928","10211,6917271193","0,7804878049",32,"0,0390625",5,"0,9609375",123,"0,2195121951",9,"0,8648648649","0,7804878049","0,8205128205","0,8707126524","0,674556213","0,1085294273","0,8914705727","0,325443787","0,6769677753","0,674556213","0,6724449871","0,7830133929",1,"0,06",0,"0,06",127838,125696,33748,?,1
vehicle,1,4,"weka,classifiers,lazy,IBk","'-K 1 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,126,43,0,"74,5562130178","25,4437869822",0,"0,6602300355","0,1286743303","0,3556376751","34,3225985885","82,1424169925","337,8984820639","405,4975326189","-67,599050555","1,9993993022","2,3993936841","-0,399994382","233,1581479555","1,3796340116","11661,3497383639","0,9268292683",38,"0,03125",4,"0,96875",124,"0,0731707317",3,"0,9047619048","0,9268292683","0,9156626506","0,9477896341","0,7455621302","0,0850353445","0,9149646555","0,2544378698","0,7494638552","0,7455621302","0,7398118669","0,8302633929",0,56,0,"0,06",127838,125696,33748,?,1
vehicle,1,5,"weka,classifiers,lazy,IBk","'-K 1 -W 0 -X -A \""weka,core,neighboursearch,LinearNNSearch -A \\\""weka,core,EuclideanDistance -R first-last\\\""\""'",-3080186098777070000,20200000,677,169,114,55,0,"67,4556213018","32,5443786982",0,"0,5657556646","0,1639687546","0,4022096223","43,7365286115","92,8978984996","337,9087753745","518,3592301765","-180,450454802","1,9994602093","3,0672143797","-1,0677541704","204,3228511382","1,2090109535","10219,2210478953","0,8048780488",33,"0,0859375",11,"0,9140625",117,"0,1951219512",8,"0,75","0,8048780488","0,7764705882","0,8594702744","0,674556213","0,1092972844","0,8907027156","0,325443787","0,6625427771","0,674556213","0,6658788526","0,7826294643",1,55,0,"0,06",127838,125696,33748,?,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"0,9017714833",,,,,Recall,"0,7021092934",,,,,,,,,,,
,,,,,,,,,,,Accuracy,,,Promedio:,"0,6025505963",Promedio,"0,384400358",,,,,,,,,,,,,Accuracy,"0,9352941176",,,,,,,,Desv Tipica,"0,0362136564",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Media,"70,2109293422",,Desv Tipica:,"0,0404146792",Desv tipica,"0,0197827016",,,,,,,,,,,,,,"0,9230769231",,,,,,Recall Media,"0,8580487805",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Desv,"3,0261380256",,,,,,,,,,,,,,,,,,,"0,9171597633",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9585798817",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8875739645",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media,"0,92433693",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desv. Tipica,"0,0259675503",,,,,,,,,,,,,,,,,,,,,,,,,,
