**********
SEMILLA 10
**********
Iteración 78	 Error de entrenamiento: 0.134379
Iteración 79	 Error de entrenamiento: 0.1335
Iteración 80	 Error de entrenamiento: 0.132647
Iteración 81	 Error de entrenamiento: 0.131815
Iteración 82	 Error de entrenamiento: 0.131003
Iteración 83	 Error de entrenamiento: 0.130209
Iteración 84	 Error de entrenamiento: 0.12943
Iteración 85	 Error de entrenamiento: 0.128668
Iteración 86	 Error de entrenamiento: 0.127911
Iteración 87	 Error de entrenamiento: 0.127148
Iteración 88	 Error de entrenamiento: 0.126372
Iteración 89	 Error de entrenamiento: 0.125587
Iteración 90	 Error de entrenamiento: 0.124805
Iteración 91	 Error de entrenamiento: 0.124043
Iteración 92	 Error de entrenamiento: 0.123313
Iteración 93	 Error de entrenamiento: 0.122619
Iteración 94	 Error de entrenamiento: 0.12195
Iteración 95	 Error de entrenamiento: 0.121296
Iteración 96	 Error de entrenamiento: 0.120645
Iteración 97	 Error de entrenamiento: 0.119987
Iteración 98	 Error de entrenamiento: 0.119317
Iteración 99	 Error de entrenamiento: 0.11864
Iteración 100	 Error de entrenamiento: 0.117965
Iteración 101	 Error de entrenamiento: 0.117305
Iteración 102	 Error de entrenamiento: 0.116668
Iteración 103	 Error de entrenamiento: 0.116059
Iteración 104	 Error de entrenamiento: 0.11548
Iteración 105	 Error de entrenamiento: 0.114918
Iteración 106	 Error de entrenamiento: 0.11436
Iteración 107	 Error de entrenamiento: 0.113795
Iteración 108	 Error de entrenamiento: 0.113213
Iteración 109	 Error de entrenamiento: 0.112612
Iteración 110	 Error de entrenamiento: 0.111996
Iteración 111	 Error de entrenamiento: 0.111375
Iteración 112	 Error de entrenamiento: 0.110763
Iteración 113	 Error de entrenamiento: 0.110174
Iteración 114	 Error de entrenamiento: 0.109614
Iteración 115	 Error de entrenamiento: 0.109078
Iteración 116	 Error de entrenamiento: 0.108559
Iteración 117	 Error de entrenamiento: 0.10805
Iteración 118	 Error de entrenamiento: 0.107542
Iteración 119	 Error de entrenamiento: 0.107032
Iteración 120	 Error de entrenamiento: 0.106514
Iteración 121	 Error de entrenamiento: 0.105991
Iteración 122	 Error de entrenamiento: 0.105466
Iteración 123	 Error de entrenamiento: 0.104943
Iteración 124	 Error de entrenamiento: 0.10443
Iteración 125	 Error de entrenamiento: 0.103929
Iteración 126	 Error de entrenamiento: 0.103442
Iteración 127	 Error de entrenamiento: 0.102975
Iteración 128	 Error de entrenamiento: 0.102535
Iteración 129	 Error de entrenamiento: 0.102116
Iteración 130	 Error de entrenamiento: 0.101701
Iteración 131	 Error de entrenamiento: 0.101273
Iteración 132	 Error de entrenamiento: 0.100821
Iteración 133	 Error de entrenamiento: 0.100348
Iteración 134	 Error de entrenamiento: 0.0998659
Iteración 135	 Error de entrenamiento: 0.0993904
Iteración 136	 Error de entrenamiento: 0.0989343
Iteración 137	 Error de entrenamiento: 0.0984992
Iteración 138	 Error de entrenamiento: 0.098079
Iteración 139	 Error de entrenamiento: 0.097667
Iteración 140	 Error de entrenamiento: 0.0972577
Iteración 141	 Error de entrenamiento: 0.0968466
Iteración 142	 Error de entrenamiento: 0.0964307
Iteración 143	 Error de entrenamiento: 0.0960097
Iteración 144	 Error de entrenamiento: 0.0955853
Iteración 145	 Error de entrenamiento: 0.0951618
Iteración 146	 Error de entrenamiento: 0.0947455
Iteración 147	 Error de entrenamiento: 0.0943461
Iteración 148	 Error de entrenamiento: 0.0939731
Iteración 149	 Error de entrenamiento: 0.0936257
Iteración 150	 Error de entrenamiento: 0.0932912
Iteración 151	 Error de entrenamiento: 0.0929551
Iteración 152	 Error de entrenamiento: 0.0926082
Iteración 153	 Error de entrenamiento: 0.092246
Iteración 154	 Error de entrenamiento: 0.0918671
Iteración 155	 Error de entrenamiento: 0.091475
Iteración 156	 Error de entrenamiento: 0.0910809
Iteración 157	 Error de entrenamiento: 0.0906993
Iteración 158	 Error de entrenamiento: 0.0903344
Iteración 159	 Error de entrenamiento: 0.0899771
Iteración 160	 Error de entrenamiento: 0.0896169
Iteración 161	 Error de entrenamiento: 0.0892486
Iteración 162	 Error de entrenamiento: 0.0888712
Iteración 163	 Error de entrenamiento: 0.0884868
Iteración 164	 Error de entrenamiento: 0.0881001
Iteración 165	 Error de entrenamiento: 0.0877173
Iteración 166	 Error de entrenamiento: 0.0873445
Iteración 167	 Error de entrenamiento: 0.0869856
Iteración 168	 Error de entrenamiento: 0.0866421
Iteración 169	 Error de entrenamiento: 0.0863126
Iteración 170	 Error de entrenamiento: 0.0859951
Iteración 171	 Error de entrenamiento: 0.0856886
Iteración 172	 Error de entrenamiento: 0.0853939
Iteración 173	 Error de entrenamiento: 0.0851124
Iteración 174	 Error de entrenamiento: 0.0848444
Iteración 175	 Error de entrenamiento: 0.0845868
Iteración 176	 Error de entrenamiento: 0.0843327
Iteración 177	 Error de entrenamiento: 0.0840733
Iteración 178	 Error de entrenamiento: 0.083802
Iteración 179	 Error de entrenamiento: 0.0835166
Iteración 180	 Error de entrenamiento: 0.0832194
Iteración 181	 Error de entrenamiento: 0.0829153
Iteración 182	 Error de entrenamiento: 0.0826093
Iteración 183	 Error de entrenamiento: 0.0823048
Iteración 184	 Error de entrenamiento: 0.0820026
Iteración 185	 Error de entrenamiento: 0.0817014
Iteración 186	 Error de entrenamiento: 0.0813998
