**********
SEMILLA 10
**********
Iteración 129	 Error de entrenamiento: 0.0948836
Iteración 130	 Error de entrenamiento: 0.094846
Iteración 131	 Error de entrenamiento: 0.0948079
Iteración 132	 Error de entrenamiento: 0.0947694
Iteración 133	 Error de entrenamiento: 0.0947305
Iteración 134	 Error de entrenamiento: 0.0946911
Iteración 135	 Error de entrenamiento: 0.0946512
Iteración 136	 Error de entrenamiento: 0.094611
Iteración 137	 Error de entrenamiento: 0.0945703
Iteración 138	 Error de entrenamiento: 0.0945292
Iteración 139	 Error de entrenamiento: 0.0944876
Iteración 140	 Error de entrenamiento: 0.0944456
Iteración 141	 Error de entrenamiento: 0.0944032
Iteración 142	 Error de entrenamiento: 0.0943603
Iteración 143	 Error de entrenamiento: 0.094317
Iteración 144	 Error de entrenamiento: 0.0942733
Iteración 145	 Error de entrenamiento: 0.0942292
Iteración 146	 Error de entrenamiento: 0.0941846
Iteración 147	 Error de entrenamiento: 0.0941397
Iteración 148	 Error de entrenamiento: 0.0940943
Iteración 149	 Error de entrenamiento: 0.0940485
Iteración 150	 Error de entrenamiento: 0.0940024
Iteración 151	 Error de entrenamiento: 0.0939558
Iteración 152	 Error de entrenamiento: 0.0939089
Iteración 153	 Error de entrenamiento: 0.0938615
Iteración 154	 Error de entrenamiento: 0.0938138
Iteración 155	 Error de entrenamiento: 0.0937657
Iteración 156	 Error de entrenamiento: 0.0937173
Iteración 157	 Error de entrenamiento: 0.0936685
Iteración 158	 Error de entrenamiento: 0.0936193
Iteración 159	 Error de entrenamiento: 0.0935698
Iteración 160	 Error de entrenamiento: 0.09352
Iteración 161	 Error de entrenamiento: 0.0934698
Iteración 162	 Error de entrenamiento: 0.0934193
Iteración 163	 Error de entrenamiento: 0.0933685
Iteración 164	 Error de entrenamiento: 0.0933174
Iteración 165	 Error de entrenamiento: 0.093266
Iteración 166	 Error de entrenamiento: 0.0932142
Iteración 167	 Error de entrenamiento: 0.0931622
Iteración 168	 Error de entrenamiento: 0.0931099
Iteración 169	 Error de entrenamiento: 0.0930573
Iteración 170	 Error de entrenamiento: 0.0930045
Iteración 171	 Error de entrenamiento: 0.0929514
Iteración 172	 Error de entrenamiento: 0.092898
Iteración 173	 Error de entrenamiento: 0.0928444
Iteración 174	 Error de entrenamiento: 0.0927905
Iteración 175	 Error de entrenamiento: 0.0927364
Iteración 176	 Error de entrenamiento: 0.0926821
Iteración 177	 Error de entrenamiento: 0.0926276
Iteración 178	 Error de entrenamiento: 0.0925728
Iteración 179	 Error de entrenamiento: 0.0925179
Iteración 180	 Error de entrenamiento: 0.0924628
Iteración 181	 Error de entrenamiento: 0.0924075
Iteración 182	 Error de entrenamiento: 0.092352
Iteración 183	 Error de entrenamiento: 0.0922964
Iteración 184	 Error de entrenamiento: 0.0922406
Iteración 185	 Error de entrenamiento: 0.0921847
Iteración 186	 Error de entrenamiento: 0.0921287
Iteración 187	 Error de entrenamiento: 0.0920726
Iteración 188	 Error de entrenamiento: 0.0920164
Iteración 189	 Error de entrenamiento: 0.0919601
Iteración 190	 Error de entrenamiento: 0.0919038
Iteración 191	 Error de entrenamiento: 0.0918474
Iteración 192	 Error de entrenamiento: 0.0917909
Iteración 193	 Error de entrenamiento: 0.0917344
Iteración 194	 Error de entrenamiento: 0.091678
Iteración 195	 Error de entrenamiento: 0.0916215
Iteración 196	 Error de entrenamiento: 0.091565
Iteración 197	 Error de entrenamiento: 0.0915086
Iteración 198	 Error de entrenamiento: 0.0914522
Iteración 199	 Error de entrenamiento: 0.0913958
Iteración 200	 Error de entrenamiento: 0.0913396
Iteración 201	 Error de entrenamiento: 0.0912834
Iteración 202	 Error de entrenamiento: 0.0912273
Iteración 203	 Error de entrenamiento: 0.0911712
Iteración 204	 Error de entrenamiento: 0.0911153
Iteración 205	 Error de entrenamiento: 0.0910596
Iteración 206	 Error de entrenamiento: 0.0910039
Iteración 207	 Error de entrenamiento: 0.0909484
Iteración 208	 Error de entrenamiento: 0.0908931
Iteración 209	 Error de entrenamiento: 0.0908379
Iteración 210	 Error de entrenamiento: 0.0907829
Iteración 211	 Error de entrenamiento: 0.0907281
Iteración 212	 Error de entrenamiento: 0.0906734
Iteración 213	 Error de entrenamiento: 0.090619
Iteración 214	 Error de entrenamiento: 0.0905647
Iteración 215	 Error de entrenamiento: 0.0905106
Iteración 216	 Error de entrenamiento: 0.0904568
Iteración 217	 Error de entrenamiento: 0.0904031
Iteración 218	 Error de entrenamiento: 0.0903497
Iteración 219	 Error de entrenamiento: 0.0902965
Iteración 220	 Error de entrenamiento: 0.0902435
Iteración 221	 Error de entrenamiento: 0.0901907
Iteración 222	 Error de entrenamiento: 0.0901382
Iteración 223	 Error de entrenamiento: 0.0900858
Iteración 224	 Error de entrenamiento: 0.0900337
Iteración 225	 Error de entrenamiento: 0.0899819
Iteración 226	 Error de entrenamiento: 0.0899302
Iteración 227	 Error de entrenamiento: 0.0898788
Iteración 228	 Error de entrenamiento: 0.0898277
Iteración 229	 Error de entrenamiento: 0.0897767
Iteración 230	 Error de entrenamiento: 0.089726
Iteración 231	 Error de entrenamiento: 0.0896755
Iteración 232	 Error de entrenamiento: 0.0896252
Iteración 233	 Error de entrenamiento: 0.0895752
Iteración 234	 Error de entrenamiento: 0.0895254
Iteración 235	 Error de entrenamiento: 0.0894758
Iteración 236	 Error de entrenamiento: 0.0894264
Iteración 237	 Error de entrenamiento: 0.0893772
Iteración 238	 Error de entrenamiento: 0.0893283
Iteración 239	 Error de entrenamiento: 0.0892795
Iteración 240	 Error de entrenamiento: 0.089231
Iteración 241	 Error de entrenamiento: 0.0891827
Iteración 242	 Error de entrenamiento: 0.0891346
Iteración 243	 Error de entrenamiento: 0.0890867
Iteración 244	 Error de entrenamiento: 0.0890389
Iteración 245	 Error de entrenamiento: 0.0889914
Iteración 246	 Error de entrenamiento: 0.0889441
Iteración 247	 Error de entrenamiento: 0.088897
Iteración 248	 Error de entrenamiento: 0.0888501
Iteración 249	 Error de entrenamiento: 0.0888034
Iteración 250	 Error de entrenamiento: 0.0887568
Iteración 251	 Error de entrenamiento: 0.0887105
Iteración 252	 Error de entrenamiento: 0.0886643
Iteración 253	 Error de entrenamiento: 0.0886183
Iteración 254	 Error de entrenamiento: 0.0885725
Iteración 255	 Error de entrenamiento: 0.0885268
Iteración 256	 Error de entrenamiento: 0.0884813
Iteración 257	 Error de entrenamiento: 0.088436
Iteración 258	 Error de entrenamiento: 0.0883909
Iteración 259	 Error de entrenamiento: 0.088346
Iteración 260	 Error de entrenamiento: 0.0883012
Iteración 261	 Error de entrenamiento: 0.0882565
Iteración 262	 Error de entrenamiento: 0.0882121
Iteración 263	 Error de entrenamiento: 0.0881677
Iteración 264	 Error de entrenamiento: 0.0881236
Iteración 265	 Error de entrenamiento: 0.0880796
Iteración 266	 Error de entrenamiento: 0.0880357
Iteración 267	 Error de entrenamiento: 0.0879921
Iteración 268	 Error de entrenamiento: 0.0879485
Iteración 269	 Error de entrenamiento: 0.0879051
Iteración 270	 Error de entrenamiento: 0.0878619
Iteración 271	 Error de entrenamiento: 0.0878188
Iteración 272	 Error de entrenamiento: 0.0877758
Iteración 273	 Error de entrenamiento: 0.087733
Iteración 274	 Error de entrenamiento: 0.0876903
Iteración 275	 Error de entrenamiento: 0.0876477
Iteración 276	 Error de entrenamiento: 0.0876053
Iteración 277	 Error de entrenamiento: 0.0875631
Iteración 278	 Error de entrenamiento: 0.0875209
Iteración 279	 Error de entrenamiento: 0.0874789
Iteración 280	 Error de entrenamiento: 0.0874371
Iteración 281	 Error de entrenamiento: 0.0873953
Iteración 282	 Error de entrenamiento: 0.0873537
Iteración 283	 Error de entrenamiento: 0.0873122
Iteración 284	 Error de entrenamiento: 0.0872709
Iteración 285	 Error de entrenamiento: 0.0872296
Iteración 286	 Error de entrenamiento: 0.0871885
Iteración 287	 Error de entrenamiento: 0.0871475
Iteración 288	 Error de entrenamiento: 0.0871067
Iteración 289	 Error de entrenamiento: 0.0870659
Iteración 290	 Error de entrenamiento: 0.0870253
Iteración 291	 Error de entrenamiento: 0.0869848
Iteración 292	 Error de entrenamiento: 0.0869444
Iteración 293	 Error de entrenamiento: 0.0869041
Iteración 294	 Error de entrenamiento: 0.086864
Iteración 295	 Error de entrenamiento: 0.0868239
Iteración 296	 Error de entrenamiento: 0.086784
Iteración 297	 Error de entrenamiento: 0.0867442
Iteración 298	 Error de entrenamiento: 0.0867045
Iteración 299	 Error de entrenamiento: 0.0866649
Iteración 300	 Error de entrenamiento: 0.0866254
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.144403 0.223903 0.0135996 -0.639039 0.634361 -0.632392 0.16908 -0.153024 -0.94466 -0.362789 -0.871587 -0.827116 0.958352 0.960434 0.753866 -0.888312 -0.454963 -0.813595 0.762202 0.122948 0.32484 0.964108 0.927087 -0.715823 -0.545984 -0.563931 -0.966964 0.742846 -0.334134 0.0755773 0.115183 0.79787 -0.704037 -0.874694 -0.847598 0.924781 -0.508695 0.328971 -0.220242 -0.449952 0.962289 -0.0991023 -0.282893 0.915029 -0.143891 -0.536966 -0.978755 0.390676 -0.358528 0.777253 -0.488504 0.968683 0.745357 -0.556079 -0.744435 -0.80614 -0.131909 -0.726307 0.927861 0.53238 0.350423 0.0452889 0.331309 0.639005 0.160545 0.476906 0.564598 0.657064 -0.190997 -0.655967 -0.799587 -0.238472 0.233138 -0.0916577 -0.328396 -0.913229 0.366253 -0.31196 0.473544 -0.991559 -0.537067 0.982899 0.978613 -0.790796 -0.574357 -0.776692 -0.607872 0.286593 -0.505241 -0.681716 -0.179681 0.843542 0.356562 -0.856421 0.478669 -0.480682 0.623223 0.0448262 -0.824018 -0.568021 0.381838 -0.634672 0.182397 -0.389329 0.272879 0.857176 -0.300348 -0.359247 -0.459478 -0.835103 -0.358192 0.0055209 -0.847044 -0.376284 0.214609 -0.423183 -0.159653 0.597838 0.856813 0.336533 0.921241 -0.316078 0.18148 0.275541 -0.17872 -0.348021 0.785552 -0.556457 0.697296 0.964491 -0.127029 0.0763845 -0.674312 -0.948425 0.690701 0.606244 0.915242 -0.608524 -0.755012 -0.548668 -0.447945 -0.116777 0.451711 -0.29918 0.49914 -0.335178 0.276048 -0.660414 -0.739057 0.13245 0.6801 -0.816476 0.815682 -0.144895 0.451208 -0.370462 0.502544 0.238741 0.0713759 0.198649 0.195706 0.941683 -0.72668 0.522858 0.992676 0.965041 0.123779 0.898983 -0.65657 0.355055 -0.660409 -0.113173 -0.766616 0.791132 0.591239 0.734404 -0.545214 -0.135008 -0.923907 -0.284751 0.995229 0.747329 -0.114851 0.794398 -0.413329 -0.675226 -0.584015 -0.918665 0.557597 0.487484 0.281109 -0.241276 0.430097 0.55343 -0.719838 0.420201 0.513269 0.3913 0.305478 0.846325 -0.25974 0.641556 -0.268739 -0.0267061 0.437542 -0.675059 -0.29 0.891687 0.185073 -0.221262 -0.400199 0.17824 -0.478461 0.483533 -0.0332367 0.103539 0.804834 0.386181 0.190806 0.366945 -0.124255 -0.526093 -0.879106 -0.700463 -0.984965 -0.614734 0.708269 0.524537 0.778359 0.0213439 0.376518 -0.472924 -0.328303 -0.883594 0.499456 -0.896388 -0.564801 -0.800948 0.982349 0.606619 -0.0328998 -0.430183 -0.226565 0.480026 -0.954461 0.739054 -0.412992 0.853071 0.127563 0.77407 0.208149 0.992424 -0.767908 0.315706 -0.719844 -0.75893 Salida: 0.941515
