**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0.444431
Iteración 2	 Error de entrenamiento: 0.394358
Iteración 3	 Error de entrenamiento: 0.37259
Iteración 4	 Error de entrenamiento: 0.356378
Iteración 5	 Error de entrenamiento: 0.343424
Iteración 6	 Error de entrenamiento: 0.332538
Iteración 7	 Error de entrenamiento: 0.323069
Iteración 8	 Error de entrenamiento: 0.314772
Iteración 9	 Error de entrenamiento: 0.307457
Iteración 10	 Error de entrenamiento: 0.300871
Iteración 11	 Error de entrenamiento: 0.294757
Iteración 12	 Error de entrenamiento: 0.288934
Iteración 13	 Error de entrenamiento: 0.283311
Iteración 14	 Error de entrenamiento: 0.277857
Iteración 15	 Error de entrenamiento: 0.272561
Iteración 16	 Error de entrenamiento: 0.267421
Iteración 17	 Error de entrenamiento: 0.262435
Iteración 18	 Error de entrenamiento: 0.2576
Iteración 19	 Error de entrenamiento: 0.252911
Iteración 20	 Error de entrenamiento: 0.248366
Iteración 21	 Error de entrenamiento: 0.243961
Iteración 22	 Error de entrenamiento: 0.239691
Iteración 23	 Error de entrenamiento: 0.235552
Iteración 24	 Error de entrenamiento: 0.231542
Iteración 25	 Error de entrenamiento: 0.227654
Iteración 26	 Error de entrenamiento: 0.223887
Iteración 27	 Error de entrenamiento: 0.220235
Iteración 28	 Error de entrenamiento: 0.216696
Iteración 29	 Error de entrenamiento: 0.213264
Iteración 30	 Error de entrenamiento: 0.209936
Iteración 31	 Error de entrenamiento: 0.206709
Iteración 32	 Error de entrenamiento: 0.203578
Iteración 33	 Error de entrenamiento: 0.200541
Iteración 34	 Error de entrenamiento: 0.197593
Iteración 35	 Error de entrenamiento: 0.194731
Iteración 36	 Error de entrenamiento: 0.191952
Iteración 37	 Error de entrenamiento: 0.189252
Iteración 38	 Error de entrenamiento: 0.186628
Iteración 39	 Error de entrenamiento: 0.184078
Iteración 40	 Error de entrenamiento: 0.181599
Iteración 41	 Error de entrenamiento: 0.179187
Iteración 42	 Error de entrenamiento: 0.176839
Iteración 43	 Error de entrenamiento: 0.174555
Iteración 44	 Error de entrenamiento: 0.172329
Iteración 45	 Error de entrenamiento: 0.170162
Iteración 46	 Error de entrenamiento: 0.168049
Iteración 47	 Error de entrenamiento: 0.165989
Iteración 48	 Error de entrenamiento: 0.163981
Iteración 49	 Error de entrenamiento: 0.162021
Iteración 50	 Error de entrenamiento: 0.160108
