**********
SEMILLA 10
**********
Iteración 55	 Error de entrenamiento: 0.175931
Iteración 56	 Error de entrenamiento: 0.174963
Iteración 57	 Error de entrenamiento: 0.174007
Iteración 58	 Error de entrenamiento: 0.173063
Iteración 59	 Error de entrenamiento: 0.172131
Iteración 60	 Error de entrenamiento: 0.171211
Iteración 61	 Error de entrenamiento: 0.170303
Iteración 62	 Error de entrenamiento: 0.169406
Iteración 63	 Error de entrenamiento: 0.168521
Iteración 64	 Error de entrenamiento: 0.167647
Iteración 65	 Error de entrenamiento: 0.166784
Iteración 66	 Error de entrenamiento: 0.165932
Iteración 67	 Error de entrenamiento: 0.165091
Iteración 68	 Error de entrenamiento: 0.164261
Iteración 69	 Error de entrenamiento: 0.163441
Iteración 70	 Error de entrenamiento: 0.162631
Iteración 71	 Error de entrenamiento: 0.161832
Iteración 72	 Error de entrenamiento: 0.161043
Iteración 73	 Error de entrenamiento: 0.160264
Iteración 74	 Error de entrenamiento: 0.159494
Iteración 75	 Error de entrenamiento: 0.158734
Iteración 76	 Error de entrenamiento: 0.157983
Iteración 77	 Error de entrenamiento: 0.157242
Iteración 78	 Error de entrenamiento: 0.15651
Iteración 79	 Error de entrenamiento: 0.155786
Iteración 80	 Error de entrenamiento: 0.155071
Iteración 81	 Error de entrenamiento: 0.154365
Iteración 82	 Error de entrenamiento: 0.153667
Iteración 83	 Error de entrenamiento: 0.152977
Iteración 84	 Error de entrenamiento: 0.152294
Iteración 85	 Error de entrenamiento: 0.15162
Iteración 86	 Error de entrenamiento: 0.150953
Iteración 87	 Error de entrenamiento: 0.150294
Iteración 88	 Error de entrenamiento: 0.149642
Iteración 89	 Error de entrenamiento: 0.148996
Iteración 90	 Error de entrenamiento: 0.148358
Iteración 91	 Error de entrenamiento: 0.147726
Iteración 92	 Error de entrenamiento: 0.147101
Iteración 93	 Error de entrenamiento: 0.146482
Iteración 94	 Error de entrenamiento: 0.145869
Iteración 95	 Error de entrenamiento: 0.145262
Iteración 96	 Error de entrenamiento: 0.144661
Iteración 97	 Error de entrenamiento: 0.144066
Iteración 98	 Error de entrenamiento: 0.143476
Iteración 99	 Error de entrenamiento: 0.142891
Iteración 100	 Error de entrenamiento: 0.142311
Iteración 101	 Error de entrenamiento: 0.141736
Iteración 102	 Error de entrenamiento: 0.141166
Iteración 103	 Error de entrenamiento: 0.140601
Iteración 104	 Error de entrenamiento: 0.14004
Iteración 105	 Error de entrenamiento: 0.139483
Iteración 106	 Error de entrenamiento: 0.138931
Iteración 107	 Error de entrenamiento: 0.138382
Iteración 108	 Error de entrenamiento: 0.137838
Iteración 109	 Error de entrenamiento: 0.137297
Iteración 110	 Error de entrenamiento: 0.13676
Iteración 111	 Error de entrenamiento: 0.136226
Iteración 112	 Error de entrenamiento: 0.135696
Iteración 113	 Error de entrenamiento: 0.135169
Iteración 114	 Error de entrenamiento: 0.134645
Iteración 115	 Error de entrenamiento: 0.134124
Iteración 116	 Error de entrenamiento: 0.133607
Iteración 117	 Error de entrenamiento: 0.133092
Iteración 118	 Error de entrenamiento: 0.13258
Iteración 119	 Error de entrenamiento: 0.13207
Iteración 120	 Error de entrenamiento: 0.131563
Iteración 121	 Error de entrenamiento: 0.131059
Iteración 122	 Error de entrenamiento: 0.130557
Iteración 123	 Error de entrenamiento: 0.130058
Iteración 124	 Error de entrenamiento: 0.129561
Iteración 125	 Error de entrenamiento: 0.129067
Iteración 126	 Error de entrenamiento: 0.128574
Iteración 127	 Error de entrenamiento: 0.128084
Iteración 128	 Error de entrenamiento: 0.127596
Iteración 129	 Error de entrenamiento: 0.12711
Iteración 130	 Error de entrenamiento: 0.126626
Iteración 131	 Error de entrenamiento: 0.126145
Iteración 132	 Error de entrenamiento: 0.125665
Iteración 133	 Error de entrenamiento: 0.125187
Iteración 134	 Error de entrenamiento: 0.124712
Iteración 135	 Error de entrenamiento: 0.124238
Iteración 136	 Error de entrenamiento: 0.123766
Iteración 137	 Error de entrenamiento: 0.123296
Iteración 138	 Error de entrenamiento: 0.122828
