**********
SEMILLA 10
**********
Iteración 117	 Error de entrenamiento: 0.103648
Iteración 118	 Error de entrenamiento: 0.103525
Iteración 119	 Error de entrenamiento: 0.103403
Iteración 120	 Error de entrenamiento: 0.10328
Iteración 121	 Error de entrenamiento: 0.103158
Iteración 122	 Error de entrenamiento: 0.103036
Iteración 123	 Error de entrenamiento: 0.102914
Iteración 124	 Error de entrenamiento: 0.102792
Iteración 125	 Error de entrenamiento: 0.10267
Iteración 126	 Error de entrenamiento: 0.102548
Iteración 127	 Error de entrenamiento: 0.102426
Iteración 128	 Error de entrenamiento: 0.102305
Iteración 129	 Error de entrenamiento: 0.102183
Iteración 130	 Error de entrenamiento: 0.102062
Iteración 131	 Error de entrenamiento: 0.101941
Iteración 132	 Error de entrenamiento: 0.10182
Iteración 133	 Error de entrenamiento: 0.101699
Iteración 134	 Error de entrenamiento: 0.101578
Iteración 135	 Error de entrenamiento: 0.101457
Iteración 136	 Error de entrenamiento: 0.101337
Iteración 137	 Error de entrenamiento: 0.101216
Iteración 138	 Error de entrenamiento: 0.101096
Iteración 139	 Error de entrenamiento: 0.100976
Iteración 140	 Error de entrenamiento: 0.100856
Iteración 141	 Error de entrenamiento: 0.100735
Iteración 142	 Error de entrenamiento: 0.100615
Iteración 143	 Error de entrenamiento: 0.100496
Iteración 144	 Error de entrenamiento: 0.100376
Iteración 145	 Error de entrenamiento: 0.100256
Iteración 146	 Error de entrenamiento: 0.100137
Iteración 147	 Error de entrenamiento: 0.100017
Iteración 148	 Error de entrenamiento: 0.0998978
Iteración 149	 Error de entrenamiento: 0.0997786
Iteración 150	 Error de entrenamiento: 0.0996594
Iteración 151	 Error de entrenamiento: 0.0995403
Iteración 152	 Error de entrenamiento: 0.0994213
Iteración 153	 Error de entrenamiento: 0.0993024
Iteración 154	 Error de entrenamiento: 0.0991836
Iteración 155	 Error de entrenamiento: 0.0990648
Iteración 156	 Error de entrenamiento: 0.0989462
Iteración 157	 Error de entrenamiento: 0.0988276
Iteración 158	 Error de entrenamiento: 0.0987092
Iteración 159	 Error de entrenamiento: 0.0985908
Iteración 160	 Error de entrenamiento: 0.0984724
Iteración 161	 Error de entrenamiento: 0.0983542
Iteración 162	 Error de entrenamiento: 0.098236
Iteración 163	 Error de entrenamiento: 0.0981179
Iteración 164	 Error de entrenamiento: 0.0979999
Iteración 165	 Error de entrenamiento: 0.097882
Iteración 166	 Error de entrenamiento: 0.0977641
Iteración 167	 Error de entrenamiento: 0.0976463
Iteración 168	 Error de entrenamiento: 0.0975285
Iteración 169	 Error de entrenamiento: 0.0974109
Iteración 170	 Error de entrenamiento: 0.0972933
Iteración 171	 Error de entrenamiento: 0.0971757
Iteración 172	 Error de entrenamiento: 0.0970583
Iteración 173	 Error de entrenamiento: 0.0969408
Iteración 174	 Error de entrenamiento: 0.0968235
Iteración 175	 Error de entrenamiento: 0.0967062
