**********
SEMILLA 10
**********
Iteración 186	 Error de entrenamiento: 0.0623245
Iteración 187	 Error de entrenamiento: 0.0620555
Iteración 188	 Error de entrenamiento: 0.0617885
Iteración 189	 Error de entrenamiento: 0.0615235
Iteración 190	 Error de entrenamiento: 0.0612605
Iteración 191	 Error de entrenamiento: 0.0609994
Iteración 192	 Error de entrenamiento: 0.0607402
Iteración 193	 Error de entrenamiento: 0.0604828
Iteración 194	 Error de entrenamiento: 0.0602274
Iteración 195	 Error de entrenamiento: 0.0599737
Iteración 196	 Error de entrenamiento: 0.0597219
Iteración 197	 Error de entrenamiento: 0.0594719
Iteración 198	 Error de entrenamiento: 0.0592237
Iteración 199	 Error de entrenamiento: 0.0589773
Iteración 200	 Error de entrenamiento: 0.0587326
Iteración 201	 Error de entrenamiento: 0.0584896
Iteración 202	 Error de entrenamiento: 0.0582483
Iteración 203	 Error de entrenamiento: 0.0580087
Iteración 204	 Error de entrenamiento: 0.0577708
Iteración 205	 Error de entrenamiento: 0.0575346
Iteración 206	 Error de entrenamiento: 0.0573
Iteración 207	 Error de entrenamiento: 0.057067
Iteración 208	 Error de entrenamiento: 0.0568356
Iteración 209	 Error de entrenamiento: 0.0566057
Iteración 210	 Error de entrenamiento: 0.0563775
Iteración 211	 Error de entrenamiento: 0.0561508
Iteración 212	 Error de entrenamiento: 0.0559256
Iteración 213	 Error de entrenamiento: 0.055702
Iteración 214	 Error de entrenamiento: 0.0554798
Iteración 215	 Error de entrenamiento: 0.0552591
Iteración 216	 Error de entrenamiento: 0.0550399
Iteración 217	 Error de entrenamiento: 0.0548222
Iteración 218	 Error de entrenamiento: 0.0546058
Iteración 219	 Error de entrenamiento: 0.0543909
Iteración 220	 Error de entrenamiento: 0.0541774
Iteración 221	 Error de entrenamiento: 0.0539653
Iteración 222	 Error de entrenamiento: 0.0537545
Iteración 223	 Error de entrenamiento: 0.0535451
Iteración 224	 Error de entrenamiento: 0.053337
Iteración 225	 Error de entrenamiento: 0.0531302
Iteración 226	 Error de entrenamiento: 0.0529248
Iteración 227	 Error de entrenamiento: 0.0527206
Iteración 228	 Error de entrenamiento: 0.0525177
Iteración 229	 Error de entrenamiento: 0.0523161
Iteración 230	 Error de entrenamiento: 0.0521157
Iteración 231	 Error de entrenamiento: 0.0519165
Iteración 232	 Error de entrenamiento: 0.0517186
Iteración 233	 Error de entrenamiento: 0.0515219
Iteración 234	 Error de entrenamiento: 0.0513263
Iteración 235	 Error de entrenamiento: 0.051132
Iteración 236	 Error de entrenamiento: 0.0509388
Iteración 237	 Error de entrenamiento: 0.0507467
Iteración 238	 Error de entrenamiento: 0.0505558
Iteración 239	 Error de entrenamiento: 0.050366
Iteración 240	 Error de entrenamiento: 0.0501773
Iteración 241	 Error de entrenamiento: 0.0499896
Iteración 242	 Error de entrenamiento: 0.0498031
Iteración 243	 Error de entrenamiento: 0.0496176
Iteración 244	 Error de entrenamiento: 0.0494332
Iteración 245	 Error de entrenamiento: 0.0492498
Iteración 246	 Error de entrenamiento: 0.0490675
Iteración 247	 Error de entrenamiento: 0.0488861
Iteración 248	 Error de entrenamiento: 0.0487058
Iteración 249	 Error de entrenamiento: 0.0485264
Iteración 250	 Error de entrenamiento: 0.048348
Iteración 251	 Error de entrenamiento: 0.0481706
Iteración 252	 Error de entrenamiento: 0.0479941
Iteración 253	 Error de entrenamiento: 0.0478185
Iteración 254	 Error de entrenamiento: 0.0476439
Iteración 255	 Error de entrenamiento: 0.0474701
Iteración 256	 Error de entrenamiento: 0.0472973
Iteración 257	 Error de entrenamiento: 0.0471253
Iteración 258	 Error de entrenamiento: 0.0469543
Iteración 259	 Error de entrenamiento: 0.0467841
Iteración 260	 Error de entrenamiento: 0.0466147
Iteración 261	 Error de entrenamiento: 0.0464462
Iteración 262	 Error de entrenamiento: 0.0462785
Iteración 263	 Error de entrenamiento: 0.0461116
Iteración 264	 Error de entrenamiento: 0.0459455
Iteración 265	 Error de entrenamiento: 0.0457803
Iteración 266	 Error de entrenamiento: 0.0456158
Iteración 267	 Error de entrenamiento: 0.0454521
Iteración 268	 Error de entrenamiento: 0.0452892
Iteración 269	 Error de entrenamiento: 0.0451271
Iteración 270	 Error de entrenamiento: 0.0449658
Iteración 271	 Error de entrenamiento: 0.0448052
Iteración 272	 Error de entrenamiento: 0.0446453
Iteración 273	 Error de entrenamiento: 0.0444863
Iteración 274	 Error de entrenamiento: 0.0443279
Iteración 275	 Error de entrenamiento: 0.0441703
Iteración 276	 Error de entrenamiento: 0.0440135
Iteración 277	 Error de entrenamiento: 0.0438574
Iteración 278	 Error de entrenamiento: 0.043702
