**********
SEMILLA 10
**********
Iteración 133	 Error de entrenamiento: 0,101441
Iteración 134	 Error de entrenamiento: 0,100981
Iteración 135	 Error de entrenamiento: 0,100526
Iteración 136	 Error de entrenamiento: 0,100075
Iteración 137	 Error de entrenamiento: 0,0996278
Iteración 138	 Error de entrenamiento: 0,0991846
Iteración 139	 Error de entrenamiento: 0,0987452
Iteración 140	 Error de entrenamiento: 0,0983097
Iteración 141	 Error de entrenamiento: 0,0978779
Iteración 142	 Error de entrenamiento: 0,0974499
Iteración 143	 Error de entrenamiento: 0,0970255
Iteración 144	 Error de entrenamiento: 0,0966049
Iteración 145	 Error de entrenamiento: 0,0961878
Iteración 146	 Error de entrenamiento: 0,0957743
Iteración 147	 Error de entrenamiento: 0,0953643
Iteración 148	 Error de entrenamiento: 0,0949579
Iteración 149	 Error de entrenamiento: 0,0945549
Iteración 150	 Error de entrenamiento: 0,0941554
Iteración 151	 Error de entrenamiento: 0,0937593
Iteración 152	 Error de entrenamiento: 0,0933666
Iteración 153	 Error de entrenamiento: 0,0929772
Iteración 154	 Error de entrenamiento: 0,0925912
Iteración 155	 Error de entrenamiento: 0,0922084
Iteración 156	 Error de entrenamiento: 0,0918289
Iteración 157	 Error de entrenamiento: 0,0914526
Iteración 158	 Error de entrenamiento: 0,0910796
Iteración 159	 Error de entrenamiento: 0,0907097
Iteración 160	 Error de entrenamiento: 0,090343
Iteración 161	 Error de entrenamiento: 0,0899794
Iteración 162	 Error de entrenamiento: 0,0896188
Iteración 163	 Error de entrenamiento: 0,0892614
Iteración 164	 Error de entrenamiento: 0,088907
Iteración 165	 Error de entrenamiento: 0,0885555
Iteración 166	 Error de entrenamiento: 0,0882071
Iteración 167	 Error de entrenamiento: 0,0878616
Iteración 168	 Error de entrenamiento: 0,087519
Iteración 169	 Error de entrenamiento: 0,0871793
Iteración 170	 Error de entrenamiento: 0,0868425
Iteración 171	 Error de entrenamiento: 0,0865084
Iteración 172	 Error de entrenamiento: 0,0861772
Iteración 173	 Error de entrenamiento: 0,0858488
Iteración 174	 Error de entrenamiento: 0,085523
Iteración 175	 Error de entrenamiento: 0,0852
Iteración 176	 Error de entrenamiento: 0,0848797
Iteración 177	 Error de entrenamiento: 0,0845619
Iteración 178	 Error de entrenamiento: 0,0842468
Iteración 179	 Error de entrenamiento: 0,0839343
Iteración 180	 Error de entrenamiento: 0,0836243
Iteración 181	 Error de entrenamiento: 0,0833168
Iteración 182	 Error de entrenamiento: 0,0830118
Iteración 183	 Error de entrenamiento: 0,0827092
Iteración 184	 Error de entrenamiento: 0,082409
Iteración 185	 Error de entrenamiento: 0,0821112
Iteración 186	 Error de entrenamiento: 0,0818158
Iteración 187	 Error de entrenamiento: 0,0815226
Iteración 188	 Error de entrenamiento: 0,0812318
Iteración 189	 Error de entrenamiento: 0,0809432
Iteración 190	 Error de entrenamiento: 0,0806568
Iteración 191	 Error de entrenamiento: 0,0803726
Iteración 192	 Error de entrenamiento: 0,0800905
Iteración 193	 Error de entrenamiento: 0,0798106
Iteración 194	 Error de entrenamiento: 0,0795327
Iteración 195	 Error de entrenamiento: 0,0792569
Iteración 196	 Error de entrenamiento: 0,0789831
Iteración 197	 Error de entrenamiento: 0,0787113
Iteración 198	 Error de entrenamiento: 0,0784415
Iteración 199	 Error de entrenamiento: 0,0781737
Iteración 200	 Error de entrenamiento: 0,0779077
Iteración 201	 Error de entrenamiento: 0,0776436
Iteración 202	 Error de entrenamiento: 0,0773814
Iteración 203	 Error de entrenamiento: 0,0771209
Iteración 204	 Error de entrenamiento: 0,0768623
Iteración 205	 Error de entrenamiento: 0,0766055
Iteración 206	 Error de entrenamiento: 0,0763504
Iteración 207	 Error de entrenamiento: 0,076097
Iteración 208	 Error de entrenamiento: 0,0758453
Iteración 209	 Error de entrenamiento: 0,0755952
Iteración 210	 Error de entrenamiento: 0,0753468
Iteración 211	 Error de entrenamiento: 0,0751001
Iteración 212	 Error de entrenamiento: 0,0748549
Iteración 213	 Error de entrenamiento: 0,0746113
Iteración 214	 Error de entrenamiento: 0,0743693
Iteración 215	 Error de entrenamiento: 0,0741288
Iteración 216	 Error de entrenamiento: 0,0738898
Iteración 217	 Error de entrenamiento: 0,0736523
Iteración 218	 Error de entrenamiento: 0,0734163
Iteración 219	 Error de entrenamiento: 0,0731817
Iteración 220	 Error de entrenamiento: 0,0729486
Iteración 221	 Error de entrenamiento: 0,0727169
Iteración 222	 Error de entrenamiento: 0,0724866
Iteración 223	 Error de entrenamiento: 0,0722577
Iteración 224	 Error de entrenamiento: 0,0720302
Iteración 225	 Error de entrenamiento: 0,071804
Iteración 226	 Error de entrenamiento: 0,0715792
Iteración 227	 Error de entrenamiento: 0,0713557
Iteración 228	 Error de entrenamiento: 0,0711335
Iteración 229	 Error de entrenamiento: 0,0709126
Iteración 230	 Error de entrenamiento: 0,0706931
Iteración 231	 Error de entrenamiento: 0,0704748
Iteración 232	 Error de entrenamiento: 0,0702577
Iteración 233	 Error de entrenamiento: 0,070042
Iteración 234	 Error de entrenamiento: 0,0698274
Iteración 235	 Error de entrenamiento: 0,0696141
Iteración 236	 Error de entrenamiento: 0,0694021
Iteración 237	 Error de entrenamiento: 0,0691912
Iteración 238	 Error de entrenamiento: 0,0689815
Iteración 239	 Error de entrenamiento: 0,0687731
Iteración 240	 Error de entrenamiento: 0,0685658
Iteración 241	 Error de entrenamiento: 0,0683597
Iteración 242	 Error de entrenamiento: 0,0681548
Iteración 243	 Error de entrenamiento: 0,067951
Iteración 244	 Error de entrenamiento: 0,0677484
Iteración 245	 Error de entrenamiento: 0,0675469
Iteración 246	 Error de entrenamiento: 0,0673466
Iteración 247	 Error de entrenamiento: 0,0671474
Iteración 248	 Error de entrenamiento: 0,0669493
Iteración 249	 Error de entrenamiento: 0,0667524
Iteración 250	 Error de entrenamiento: 0,0665565
Iteración 251	 Error de entrenamiento: 0,0663617
Iteración 252	 Error de entrenamiento: 0,0661681
Iteración 253	 Error de entrenamiento: 0,0659755
Iteración 254	 Error de entrenamiento: 0,065784
Iteración 255	 Error de entrenamiento: 0,0655936
Iteración 256	 Error de entrenamiento: 0,0654042
Iteración 257	 Error de entrenamiento: 0,0652159
Iteración 258	 Error de entrenamiento: 0,0650286
Iteración 259	 Error de entrenamiento: 0,0648424
Iteración 260	 Error de entrenamiento: 0,0646572
Iteración 261	 Error de entrenamiento: 0,0644731
Iteración 262	 Error de entrenamiento: 0,06429
Iteración 263	 Error de entrenamiento: 0,0641079
Iteración 264	 Error de entrenamiento: 0,0639268
Iteración 265	 Error de entrenamiento: 0,0637467
Iteración 266	 Error de entrenamiento: 0,0635676
Iteración 267	 Error de entrenamiento: 0,0633895
Iteración 268	 Error de entrenamiento: 0,0632124
Iteración 269	 Error de entrenamiento: 0,0630363
Iteración 270	 Error de entrenamiento: 0,0628611
Iteración 271	 Error de entrenamiento: 0,0626869
Iteración 272	 Error de entrenamiento: 0,0625136
Iteración 273	 Error de entrenamiento: 0,0623413
Iteración 274	 Error de entrenamiento: 0,06217
Iteración 275	 Error de entrenamiento: 0,0619995
Iteración 276	 Error de entrenamiento: 0,0618301
Iteración 277	 Error de entrenamiento: 0,0616615
Iteración 278	 Error de entrenamiento: 0,0614938
Iteración 279	 Error de entrenamiento: 0,0613271
Iteración 280	 Error de entrenamiento: 0,0611612
Iteración 281	 Error de entrenamiento: 0,0609962
Iteración 282	 Error de entrenamiento: 0,0608321
Iteración 283	 Error de entrenamiento: 0,0606689
Iteración 284	 Error de entrenamiento: 0,0605066
Iteración 285	 Error de entrenamiento: 0,0603451
Iteración 286	 Error de entrenamiento: 0,0601845
Iteración 287	 Error de entrenamiento: 0,0600247
Iteración 288	 Error de entrenamiento: 0,0598658
Iteración 289	 Error de entrenamiento: 0,0597077
Iteración 290	 Error de entrenamiento: 0,0595504
Iteración 291	 Error de entrenamiento: 0,059394
Iteración 292	 Error de entrenamiento: 0,0592383
Iteración 293	 Error de entrenamiento: 0,0590835
Iteración 294	 Error de entrenamiento: 0,0589295
Iteración 295	 Error de entrenamiento: 0,0587762
Iteración 296	 Error de entrenamiento: 0,0586237
Iteración 297	 Error de entrenamiento: 0,058472
Iteración 298	 Error de entrenamiento: 0,0583211
Iteración 299	 Error de entrenamiento: 0,0581709
Iteración 300	 Error de entrenamiento: 0,0580215
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0,12073 0,273979 0,0799467 -0,563579 0,720633 -0,527384 0,292946 0,000285797 -0,817665 -0,215852 -0,73443 -0,691528 1,0619 1,01106 0,747858 -0,897501 -0,474152 -0,765958 0,820834 0,184536 0,407492 1,04372 1,0118 -0,604883 -0,457169 -0,444273 -0,89827 0,799793 -0,296247 0,0375258 0,0486187 0,752808 -0,698843 -0,788167 -0,770952 0,990653 -0,451095 0,38154 -0,176889 -0,440645 1,0059 -0,0449402 -0,26945 0,844544 -0,164465 -0,554709 -1,01532 0,351303 -0,342068 0,822591 -0,449164 0,979683 0,774858 -0,532517 -0,720915 -0,794952 -0,134816 -0,768615 0,853513 0,495016 0,368707 0,0412673 0,256091 0,587349 0,180869 0,504946 0,558582 0,673268 -0,184857 -0,618081 -0,796228 -0,272093 0,183077 -0,146876 -0,366604 -0,893358 0,415652 -0,309478 0,42789 -1,03537 -0,548486 0,993742 0,982388 -0,80046 -0,580257 -0,791681 -0,66118 0,236298 -0,53108 -0,693488 -0,165113 0,866985 0,359595 -0,873009 0,447102 -0,533454 0,58874 0,0368198 -0,846944 -0,5797 0,346405 -0,686384 0,113674 -0,406717 0,273957 0,878671 -0,284293 -0,346843 -0,438353 -0,866885 -0,400867 -0,073008 -0,886083 -0,417142 0,142405 -0,480239 -0,220724 0,539207 0,866639 0,384298 0,965445 -0,303097 0,186482 0,265606 -0,209884 -0,415052 0,71271 -0,614931 0,669158 0,889655 -0,216978 0,00792549 -0,706785 -0,937582 0,721417 0,640049 0,963144 -0,537637 -0,753646 -0,545341 -0,48842 -0,215083 0,339676 -0,392525 0,459754 -0,444326 0,17732 -0,667133 -0,691646 0,18567 0,730352 -0,806539 0,819409 -0,145764 0,415003 -0,393718 0,424246 0,10215 -0,0976661 0,0773012 0,164258 0,832205 -0,836134 0,508486 1,0119 0,985174 0,120486 0,845603 -0,700951 0,322648 -0,725501 -0,192994 -0,872952 0,643333 0,380364 0,569688 -0,599513 -0,214185 -0,968778 -0,327444 0,945778 0,708676 -0,127567 0,793761 -0,441894 -0,730168 -0,662494 -0,97239 0,483645 0,342335 0,123603 -0,38653 0,371075 0,535398 -0,751656 0,368993 0,438542 0,357614 0,28943 0,870105 -0,280107 0,616054 -0,29163 -0,076384 0,344934 -0,802813 -0,429155 0,793123 0,152676 -0,207263 -0,413685 0,161649 -0,489433 0,456197 -0,0120382 0,136678 0,886518 0,425317 0,181377 0,329316 -0,193809 -0,617617 -0,964897 -0,766089 -0,976242 -0,582318 0,745631 0,564512 0,809594 0,0547203 0,439925 -0,430955 -0,286342 -0,880542 0,504381 -0,914707 -0,562336 -0,796586 0,995038 0,635609 0,00474172 -0,431954 -0,187783 0,516157 -0,938724 0,77003 -0,411159 0,841433 0,0914438 0,755361 0,197128 0,996221 -0,751865 0,372049 -0,67289 -0,725288 Salida: 0,928262
1,03852 0,748021 0,441116 -0,0540242 0,0529365 0,921253 0,608717 0,179401 0,388697 0,684577 0,624865 0,641375 0,709804 0,250757 -0,335302 -0,589513 -0,791603 -0,907873 -0,686415 0,723923 -0,322763 -0,838556 -0,113074 -0,573948 0,370357 -0,127419 -0,27832 -0,245351 0,192877 -0,103797 -0,640005 0,0289705 -0,400954 0,886877 -0,843393 0,812042 0,817711 0,742165 0,0326333 0,329377 0,564739 -0,232889 0,069497 0,269806 0,949223 0,58366 0,471046 0,826985 0,581133 0,883666 0,759439 -0,655897 -0,9985 -0,409946 -0,179334 0,404271 0,515501 0,557319 -0,858686 -0,376106 -0,585266 -0,548996 0,675261 -0,0784464 -0,833808 0,934688 -0,0834317 -0,866201 0,60634 0,900935 0,464634 0,146492 -0,375332 -0,531409 -0,602125 -0,451192 -0,997389 0,880872 -0,620636 0,539384 0,588473 -0,734912 -0,881864 0,72181 -0,230639 -0,106795 0,123874 -0,763878 -0,589346 0,234449 -0,115632 -0,218488 0,628742 -0,400564 0,821239 0,850293 -0,629043 -0,19275 -0,861179 -0,87482 -0,245036 0,586222 0,249272 0,309373 0,997719 0,627546 0,799938 0,96683 0,473828 -0,67179 0,687697 0,156572 -0,603769 0,700476 -0,0825187 0,292573 -0,327433 -0,945211 0,531425 0,0338966 0,241295 -0,611623 0,837128 -0,0785806 0,00604999 0,759014 -0,0989943 0,428046 -0,60236 -0,14401 0,45019 0,118001 -0,567956 -0,287233 -0,580417 -0,573657 -0,62536 -0,750802 -0,534735 0,868183 -0,451759 -0,850191 0,051231 -0,0381838 0,74587 0,841382 -0,905807 -0,705851 -1,08303 0,747053 0,449818 0,318409 -0,749979 0,292081 -0,856451 0,152128 -0,0494734 -0,0211333 -0,418137 0,343777 0,79078 -1,06452 -0,670022 -0,860416 -0,265349 -0,0152641 -0,193372 0,288844 0,326377 0,161033 0,026047 0,706339 0,202082 -0,900551 -0,283143 -0,0258294 -0,963616 -0,221098 0,196333 -1,08401 -0,285707 -0,0938108 0,386114 0,0492774 -0,779182 0,463654 -0,935463 0,0835357 -0,630692 -0,345495 -0,483238 -0,80686 -0,244878 -0,0983546 -0,667224 0,489884 -0,983174 0,272662 -0,123949 0,383604 -0,567218 0,858527 0,00898588 0,573423 0,881655 0,745807 -0,41143 0,955265 -0,251307 -1,06603 -1,07015 0,45698 -0,133918 0,291693 -0,526319 0,0881096 -0,224066 -0,471315 -0,881731 0,0954392 0,188171 -0,344939 0,326231 1,01328 0,731207 0,84447 0,613502 0,73205 0,0322371 -0,637372 -0,00691056 0,395359 -0,853216 -1,0312 -0,0412599 -0,882844 0,797096 0,621288 -0,851635 -0,38906 0,692433 -0,83784 -0,894141 -0,431266 0,467665 -0,482894 0,520841 -0,895602 0,00573831 0,690526 0,304207 -0,726963 -0,611591 -0,346257 -0,704392 -0,865001 Salida: 0,0611527
