**********
SEMILLA 10
**********
Iteración 129	 Error de entrenamiento: 0,0210198
Iteración 130	 Error de entrenamiento: 0,0208549
Iteración 131	 Error de entrenamiento: 0,0206888
Iteración 132	 Error de entrenamiento: 0,0205215
Iteración 133	 Error de entrenamiento: 0,0203528
Iteración 134	 Error de entrenamiento: 0,0201829
Iteración 135	 Error de entrenamiento: 0,0200116
Iteración 136	 Error de entrenamiento: 0,019839
Iteración 137	 Error de entrenamiento: 0,0196651
Iteración 138	 Error de entrenamiento: 0,0194898
Iteración 139	 Error de entrenamiento: 0,0193134
Iteración 140	 Error de entrenamiento: 0,0191356
Iteración 141	 Error de entrenamiento: 0,0189567
Iteración 142	 Error de entrenamiento: 0,0187766
Iteración 143	 Error de entrenamiento: 0,0185954
Iteración 144	 Error de entrenamiento: 0,0184131
Iteración 145	 Error de entrenamiento: 0,0182298
Iteración 146	 Error de entrenamiento: 0,0180456
Iteración 147	 Error de entrenamiento: 0,0178605
Iteración 148	 Error de entrenamiento: 0,0176746
Iteración 149	 Error de entrenamiento: 0,0174879
Iteración 150	 Error de entrenamiento: 0,0173006
Iteración 151	 Error de entrenamiento: 0,0171127
Iteración 152	 Error de entrenamiento: 0,0169242
Iteración 153	 Error de entrenamiento: 0,0167354
Iteración 154	 Error de entrenamiento: 0,0165462
Iteración 155	 Error de entrenamiento: 0,0163568
Iteración 156	 Error de entrenamiento: 0,0161673
Iteración 157	 Error de entrenamiento: 0,0159777
Iteración 158	 Error de entrenamiento: 0,0157882
Iteración 159	 Error de entrenamiento: 0,0155989
Iteración 160	 Error de entrenamiento: 0,0154098
Iteración 161	 Error de entrenamiento: 0,015221
Iteración 162	 Error de entrenamiento: 0,0150328
Iteración 163	 Error de entrenamiento: 0,0148452
Iteración 164	 Error de entrenamiento: 0,0146583
Iteración 165	 Error de entrenamiento: 0,0144722
Iteración 166	 Error de entrenamiento: 0,0142871
Iteración 167	 Error de entrenamiento: 0,014103
Iteración 168	 Error de entrenamiento: 0,0139202
Iteración 169	 Error de entrenamiento: 0,0137388
Iteración 170	 Error de entrenamiento: 0,0135588
Iteración 171	 Error de entrenamiento: 0,0133804
Iteración 172	 Error de entrenamiento: 0,0132038
Iteración 173	 Error de entrenamiento: 0,013029
Iteración 174	 Error de entrenamiento: 0,0128563
Iteración 175	 Error de entrenamiento: 0,0126858
Iteración 176	 Error de entrenamiento: 0,0125175
Iteración 177	 Error de entrenamiento: 0,0123517
Iteración 178	 Error de entrenamiento: 0,0121884
Iteración 179	 Error de entrenamiento: 0,0120278
Iteración 180	 Error de entrenamiento: 0,0118701
Iteración 181	 Error de entrenamiento: 0,0117153
Iteración 182	 Error de entrenamiento: 0,0115636
Iteración 183	 Error de entrenamiento: 0,0114151
Iteración 184	 Error de entrenamiento: 0,01127
Iteración 185	 Error de entrenamiento: 0,0111282
Iteración 186	 Error de entrenamiento: 0,0109899
Iteración 187	 Error de entrenamiento: 0,0108552
Iteración 188	 Error de entrenamiento: 0,0107242
Iteración 189	 Error de entrenamiento: 0,010597
Iteración 190	 Error de entrenamiento: 0,0104735
Iteración 191	 Error de entrenamiento: 0,0103539
Iteración 192	 Error de entrenamiento: 0,0102382
Iteración 193	 Error de entrenamiento: 0,0101264
Iteración 194	 Error de entrenamiento: 0,0100186
Iteración 195	 Error de entrenamiento: 0,0099146
Iteración 196	 Error de entrenamiento: 0,00981455
Iteración 197	 Error de entrenamiento: 0,00971838
Iteración 198	 Error de entrenamiento: 0,00962605
Iteración 199	 Error de entrenamiento: 0,0095375
Iteración 200	 Error de entrenamiento: 0,00945268
Iteración 201	 Error de entrenamiento: 0,0093715
Iteración 202	 Error de entrenamiento: 0,00929387
Iteración 203	 Error de entrenamiento: 0,00921969
Iteración 204	 Error de entrenamiento: 0,00914885
Iteración 205	 Error de entrenamiento: 0,00908121
Iteración 206	 Error de entrenamiento: 0,00901665
Iteración 207	 Error de entrenamiento: 0,00895502
Iteración 208	 Error de entrenamiento: 0,00889617
Iteración 209	 Error de entrenamiento: 0,00883993
Iteración 210	 Error de entrenamiento: 0,00878615
Iteración 211	 Error de entrenamiento: 0,00873463
Iteración 212	 Error de entrenamiento: 0,00868521
Iteración 213	 Error de entrenamiento: 0,00863771
Iteración 214	 Error de entrenamiento: 0,00859193
Iteración 215	 Error de entrenamiento: 0,00854768
Iteración 216	 Error de entrenamiento: 0,00850479
Iteración 217	 Error de entrenamiento: 0,00846305
Iteración 218	 Error de entrenamiento: 0,00842229
Iteración 219	 Error de entrenamiento: 0,00838231
Iteración 220	 Error de entrenamiento: 0,00834293
Iteración 221	 Error de entrenamiento: 0,00830398
Iteración 222	 Error de entrenamiento: 0,00826528
Iteración 223	 Error de entrenamiento: 0,00822665
Iteración 224	 Error de entrenamiento: 0,00818795
Iteración 225	 Error de entrenamiento: 0,00814901
Iteración 226	 Error de entrenamiento: 0,00810968
Iteración 227	 Error de entrenamiento: 0,00806984
Iteración 228	 Error de entrenamiento: 0,00802934
Iteración 229	 Error de entrenamiento: 0,00798808
Iteración 230	 Error de entrenamiento: 0,00794593
Iteración 231	 Error de entrenamiento: 0,0079028
Iteración 232	 Error de entrenamiento: 0,0078586
Iteración 233	 Error de entrenamiento: 0,00781325
Iteración 234	 Error de entrenamiento: 0,00776668
Iteración 235	 Error de entrenamiento: 0,00771883
Iteración 236	 Error de entrenamiento: 0,00766966
Iteración 237	 Error de entrenamiento: 0,00761913
Iteración 238	 Error de entrenamiento: 0,00756721
Iteración 239	 Error de entrenamiento: 0,00751389
Iteración 240	 Error de entrenamiento: 0,00745917
Iteración 241	 Error de entrenamiento: 0,00740304
Iteración 242	 Error de entrenamiento: 0,00734552
Iteración 243	 Error de entrenamiento: 0,00728663
Iteración 244	 Error de entrenamiento: 0,00722641
Iteración 245	 Error de entrenamiento: 0,0071649
Iteración 246	 Error de entrenamiento: 0,00710214
Iteración 247	 Error de entrenamiento: 0,00703819
Iteración 248	 Error de entrenamiento: 0,00697311
Iteración 249	 Error de entrenamiento: 0,00690697
Iteración 250	 Error de entrenamiento: 0,00683984
Iteración 251	 Error de entrenamiento: 0,00677181
Iteración 252	 Error de entrenamiento: 0,00670295
Iteración 253	 Error de entrenamiento: 0,00663335
Iteración 254	 Error de entrenamiento: 0,00656311
Iteración 255	 Error de entrenamiento: 0,00649232
Iteración 256	 Error de entrenamiento: 0,00642108
Iteración 257	 Error de entrenamiento: 0,00634947
Iteración 258	 Error de entrenamiento: 0,00627761
Iteración 259	 Error de entrenamiento: 0,00620559
Iteración 260	 Error de entrenamiento: 0,00613351
Iteración 261	 Error de entrenamiento: 0,00606146
Iteración 262	 Error de entrenamiento: 0,00598955
Iteración 263	 Error de entrenamiento: 0,00591787
Iteración 264	 Error de entrenamiento: 0,00584652
Iteración 265	 Error de entrenamiento: 0,00577558
Iteración 266	 Error de entrenamiento: 0,00570514
Iteración 267	 Error de entrenamiento: 0,00563529
Iteración 268	 Error de entrenamiento: 0,00556612
Iteración 269	 Error de entrenamiento: 0,00549769
Iteración 270	 Error de entrenamiento: 0,00543009
Iteración 271	 Error de entrenamiento: 0,00536339
Iteración 272	 Error de entrenamiento: 0,00529765
Iteración 273	 Error de entrenamiento: 0,00523293
Iteración 274	 Error de entrenamiento: 0,00516929
Iteración 275	 Error de entrenamiento: 0,00510679
Iteración 276	 Error de entrenamiento: 0,00504547
Iteración 277	 Error de entrenamiento: 0,00498537
Iteración 278	 Error de entrenamiento: 0,00492654
Iteración 279	 Error de entrenamiento: 0,00486902
Iteración 280	 Error de entrenamiento: 0,00481282
Iteración 281	 Error de entrenamiento: 0,00475799
Iteración 282	 Error de entrenamiento: 0,00470453
Iteración 283	 Error de entrenamiento: 0,00465247
Iteración 284	 Error de entrenamiento: 0,00460181
Iteración 285	 Error de entrenamiento: 0,00455258
Iteración 286	 Error de entrenamiento: 0,00450477
Iteración 287	 Error de entrenamiento: 0,00445839
Iteración 288	 Error de entrenamiento: 0,00441344
Iteración 289	 Error de entrenamiento: 0,0043699
Iteración 290	 Error de entrenamiento: 0,00432778
Iteración 291	 Error de entrenamiento: 0,00428706
Iteración 292	 Error de entrenamiento: 0,00424773
Iteración 293	 Error de entrenamiento: 0,00420976
Iteración 294	 Error de entrenamiento: 0,00417315
Iteración 295	 Error de entrenamiento: 0,00413786
Iteración 296	 Error de entrenamiento: 0,00410388
Iteración 297	 Error de entrenamiento: 0,00407117
Iteración 298	 Error de entrenamiento: 0,00403971
Iteración 299	 Error de entrenamiento: 0,00400947
Iteración 300	 Error de entrenamiento: 0,00398041
Iteración 301	 Error de entrenamiento: 0,0039525
Iteración 302	 Error de entrenamiento: 0,0039257
Iteración 303	 Error de entrenamiento: 0,00389998
Iteración 304	 Error de entrenamiento: 0,00387529
Iteración 305	 Error de entrenamiento: 0,00385159
Iteración 306	 Error de entrenamiento: 0,00382884
Iteración 307	 Error de entrenamiento: 0,00380701
Iteración 308	 Error de entrenamiento: 0,00378604
Iteración 309	 Error de entrenamiento: 0,00376589
Iteración 310	 Error de entrenamiento: 0,00374651
Iteración 311	 Error de entrenamiento: 0,00372786
Iteración 312	 Error de entrenamiento: 0,00370989
Iteración 313	 Error de entrenamiento: 0,00369254
Iteración 314	 Error de entrenamiento: 0,00367579
Iteración 315	 Error de entrenamiento: 0,00365956
Iteración 316	 Error de entrenamiento: 0,00364383
Iteración 317	 Error de entrenamiento: 0,00362853
Iteración 318	 Error de entrenamiento: 0,00361362
Iteración 319	 Error de entrenamiento: 0,00359905
Iteración 320	 Error de entrenamiento: 0,00358476
Iteración 321	 Error de entrenamiento: 0,00357073
Iteración 322	 Error de entrenamiento: 0,00355689
Iteración 323	 Error de entrenamiento: 0,0035432
Iteración 324	 Error de entrenamiento: 0,00352962
Iteración 325	 Error de entrenamiento: 0,00351609
Iteración 326	 Error de entrenamiento: 0,00350258
Iteración 327	 Error de entrenamiento: 0,00348905
Iteración 328	 Error de entrenamiento: 0,00347546
Iteración 329	 Error de entrenamiento: 0,00346176
Iteración 330	 Error de entrenamiento: 0,00344792
Iteración 331	 Error de entrenamiento: 0,00343391
Iteración 332	 Error de entrenamiento: 0,00341969
Iteración 333	 Error de entrenamiento: 0,00340523
Iteración 334	 Error de entrenamiento: 0,00339051
Iteración 335	 Error de entrenamiento: 0,00337549
Iteración 336	 Error de entrenamiento: 0,00336016
Iteración 337	 Error de entrenamiento: 0,00334449
Iteración 338	 Error de entrenamiento: 0,00332848
Iteración 339	 Error de entrenamiento: 0,00331209
Iteración 340	 Error de entrenamiento: 0,00329533
Iteración 341	 Error de entrenamiento: 0,00327817
Iteración 342	 Error de entrenamiento: 0,00326063
Iteración 343	 Error de entrenamiento: 0,00324269
Iteración 344	 Error de entrenamiento: 0,00322435
Iteración 345	 Error de entrenamiento: 0,00320561
Iteración 346	 Error de entrenamiento: 0,00318649
Iteración 347	 Error de entrenamiento: 0,00316698
Iteración 348	 Error de entrenamiento: 0,00314711
Iteración 349	 Error de entrenamiento: 0,00312688
Iteración 350	 Error de entrenamiento: 0,00310631
Iteración 351	 Error de entrenamiento: 0,00308541
Iteración 352	 Error de entrenamiento: 0,00306422
Iteración 353	 Error de entrenamiento: 0,00304275
Iteración 354	 Error de entrenamiento: 0,00302102
Iteración 355	 Error de entrenamiento: 0,00299907
Iteración 356	 Error de entrenamiento: 0,00297692
Iteración 357	 Error de entrenamiento: 0,00295459
Iteración 358	 Error de entrenamiento: 0,00293213
Iteración 359	 Error de entrenamiento: 0,00290955
Iteración 360	 Error de entrenamiento: 0,0028869
Iteración 361	 Error de entrenamiento: 0,0028642
Iteración 362	 Error de entrenamiento: 0,00284149
Iteración 363	 Error de entrenamiento: 0,0028188
Iteración 364	 Error de entrenamiento: 0,00279616
Iteración 365	 Error de entrenamiento: 0,00277361
Iteración 366	 Error de entrenamiento: 0,00275117
Iteración 367	 Error de entrenamiento: 0,00272888
Iteración 368	 Error de entrenamiento: 0,00270677
Iteración 369	 Error de entrenamiento: 0,00268488
Iteración 370	 Error de entrenamiento: 0,00266321
Iteración 371	 Error de entrenamiento: 0,00264182
Iteración 372	 Error de entrenamiento: 0,00262071
Iteración 373	 Error de entrenamiento: 0,00259993
Iteración 374	 Error de entrenamiento: 0,00257948
Iteración 375	 Error de entrenamiento: 0,0025594
Iteración 376	 Error de entrenamiento: 0,0025397
Iteración 377	 Error de entrenamiento: 0,0025204
Iteración 378	 Error de entrenamiento: 0,00250152
Iteración 379	 Error de entrenamiento: 0,00248307
Iteración 380	 Error de entrenamiento: 0,00246507
Iteración 381	 Error de entrenamiento: 0,00244753
Iteración 382	 Error de entrenamiento: 0,00243045
Iteración 383	 Error de entrenamiento: 0,00241384
Iteración 384	 Error de entrenamiento: 0,00239772
Iteración 385	 Error de entrenamiento: 0,00238208
Iteración 386	 Error de entrenamiento: 0,00236692
Iteración 387	 Error de entrenamiento: 0,00235224
Iteración 388	 Error de entrenamiento: 0,00233805
Iteración 389	 Error de entrenamiento: 0,00232434
Iteración 390	 Error de entrenamiento: 0,00231109
Iteración 391	 Error de entrenamiento: 0,00229831
Iteración 392	 Error de entrenamiento: 0,00228599
Iteración 393	 Error de entrenamiento: 0,00227411
Iteración 394	 Error de entrenamiento: 0,00226267
Iteración 395	 Error de entrenamiento: 0,00225164
Iteración 396	 Error de entrenamiento: 0,00224102
Iteración 397	 Error de entrenamiento: 0,00223079
Iteración 398	 Error de entrenamiento: 0,00222092
Iteración 399	 Error de entrenamiento: 0,00221142
Iteración 400	 Error de entrenamiento: 0,00220224
Iteración 401	 Error de entrenamiento: 0,00219338
Iteración 402	 Error de entrenamiento: 0,00218481
Iteración 403	 Error de entrenamiento: 0,00217652
Iteración 404	 Error de entrenamiento: 0,00216848
Iteración 405	 Error de entrenamiento: 0,00216068
Iteración 406	 Error de entrenamiento: 0,00215308
Iteración 407	 Error de entrenamiento: 0,00214567
Iteración 408	 Error de entrenamiento: 0,00213843
Iteración 409	 Error de entrenamiento: 0,00213134
