**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,415822
Iteración 2	 Error de entrenamiento: 0,390444
Iteración 3	 Error de entrenamiento: 0,371781
Iteración 4	 Error de entrenamiento: 0,359843
Iteración 5	 Error de entrenamiento: 0,353115
Iteración 6	 Error de entrenamiento: 0,349945
Iteración 7	 Error de entrenamiento: 0,348933
Iteración 8	 Error de entrenamiento: 0,349051
Iteración 9	 Error de entrenamiento: 0,349628
Iteración 10	 Error de entrenamiento: 0,350265
Iteración 11	 Error de entrenamiento: 0,350756
Iteración 12	 Error de entrenamiento: 0,351017
Iteración 13	 Error de entrenamiento: 0,351035
Iteración 14	 Error de entrenamiento: 0,350837
Iteración 15	 Error de entrenamiento: 0,350466
Iteración 16	 Error de entrenamiento: 0,349972
Iteración 17	 Error de entrenamiento: 0,3494
Iteración 18	 Error de entrenamiento: 0,348789
Iteración 19	 Error de entrenamiento: 0,34817
Iteración 20	 Error de entrenamiento: 0,347563
Iteración 21	 Error de entrenamiento: 0,346983
Iteración 22	 Error de entrenamiento: 0,346439
Iteración 23	 Error de entrenamiento: 0,345935
Iteración 24	 Error de entrenamiento: 0,34547
Iteración 25	 Error de entrenamiento: 0,345044
Iteración 26	 Error de entrenamiento: 0,344653
Iteración 27	 Error de entrenamiento: 0,344293
Iteración 28	 Error de entrenamiento: 0,343961
Iteración 29	 Error de entrenamiento: 0,343653
Iteración 30	 Error de entrenamiento: 0,343365
Iteración 31	 Error de entrenamiento: 0,343095
Iteración 32	 Error de entrenamiento: 0,342839
Iteración 33	 Error de entrenamiento: 0,342595
Iteración 34	 Error de entrenamiento: 0,342362
Iteración 35	 Error de entrenamiento: 0,342137
Iteración 36	 Error de entrenamiento: 0,341918
Iteración 37	 Error de entrenamiento: 0,341705
Iteración 38	 Error de entrenamiento: 0,341495
Iteración 39	 Error de entrenamiento: 0,341288
Iteración 40	 Error de entrenamiento: 0,341081
Iteración 41	 Error de entrenamiento: 0,340874
Iteración 42	 Error de entrenamiento: 0,340665
Iteración 43	 Error de entrenamiento: 0,340452
Iteración 44	 Error de entrenamiento: 0,340233
Iteración 45	 Error de entrenamiento: 0,340006
Iteración 46	 Error de entrenamiento: 0,33977
