**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,364125
Iteración 2	 Error de entrenamiento: 0,351753
Iteración 3	 Error de entrenamiento: 0,34224
Iteración 4	 Error de entrenamiento: 0,335558
Iteración 5	 Error de entrenamiento: 0,331024
Iteración 6	 Error de entrenamiento: 0,327955
Iteración 7	 Error de entrenamiento: 0,325786
Iteración 8	 Error de entrenamiento: 0,324099
Iteración 9	 Error de entrenamiento: 0,32262
Iteración 10	 Error de entrenamiento: 0,3212
Iteración 11	 Error de entrenamiento: 0,319784
Iteración 12	 Error de entrenamiento: 0,318381
Iteración 13	 Error de entrenamiento: 0,317035
Iteración 14	 Error de entrenamiento: 0,315797
Iteración 15	 Error de entrenamiento: 0,314707
Iteración 16	 Error de entrenamiento: 0,313783
Iteración 17	 Error de entrenamiento: 0,313013
Iteración 18	 Error de entrenamiento: 0,312354
Iteración 19	 Error de entrenamiento: 0,311744
Iteración 20	 Error de entrenamiento: 0,311104
Iteración 21	 Error de entrenamiento: 0,310352
Iteración 22	 Error de entrenamiento: 0,309412
Iteración 23	 Error de entrenamiento: 0,30822
Iteración 24	 Error de entrenamiento: 0,306736
Iteración 25	 Error de entrenamiento: 0,304942
Iteración 26	 Error de entrenamiento: 0,302846
Iteración 27	 Error de entrenamiento: 0,300482
Iteración 28	 Error de entrenamiento: 0,2979
Iteración 29	 Error de entrenamiento: 0,295169
Iteración 30	 Error de entrenamiento: 0,292365
Iteración 31	 Error de entrenamiento: 0,289569
Iteración 32	 Error de entrenamiento: 0,286856
Iteración 33	 Error de entrenamiento: 0,284292
Iteración 34	 Error de entrenamiento: 0,281929
Iteración 35	 Error de entrenamiento: 0,279804
Iteración 36	 Error de entrenamiento: 0,277933
Iteración 37	 Error de entrenamiento: 0,276318
Iteración 38	 Error de entrenamiento: 0,274944
Iteración 39	 Error de entrenamiento: 0,273782
Iteración 40	 Error de entrenamiento: 0,272795
Iteración 41	 Error de entrenamiento: 0,271943
Iteración 42	 Error de entrenamiento: 0,271181
Iteración 43	 Error de entrenamiento: 0,270466
Iteración 44	 Error de entrenamiento: 0,269762
Iteración 45	 Error de entrenamiento: 0,269035
Iteración 46	 Error de entrenamiento: 0,26826
Iteración 47	 Error de entrenamiento: 0,267416
Iteración 48	 Error de entrenamiento: 0,266491
Iteración 49	 Error de entrenamiento: 0,265479
Iteración 50	 Error de entrenamiento: 0,264378
Iteración 51	 Error de entrenamiento: 0,26319
Iteración 52	 Error de entrenamiento: 0,261922
Iteración 53	 Error de entrenamiento: 0,260583
Iteración 54	 Error de entrenamiento: 0,259183
Iteración 55	 Error de entrenamiento: 0,257736
Iteración 56	 Error de entrenamiento: 0,256254
Iteración 57	 Error de entrenamiento: 0,25475
Iteración 58	 Error de entrenamiento: 0,253236
Iteración 59	 Error de entrenamiento: 0,251726
Iteración 60	 Error de entrenamiento: 0,250229
Iteración 61	 Error de entrenamiento: 0,248755
Iteración 62	 Error de entrenamiento: 0,247311
Iteración 63	 Error de entrenamiento: 0,245903
Iteración 64	 Error de entrenamiento: 0,244533
Iteración 65	 Error de entrenamiento: 0,243204
Iteración 66	 Error de entrenamiento: 0,241914
Iteración 67	 Error de entrenamiento: 0,240662
Iteración 68	 Error de entrenamiento: 0,239443
Iteración 69	 Error de entrenamiento: 0,238252
Iteración 70	 Error de entrenamiento: 0,237084
Iteración 71	 Error de entrenamiento: 0,235933
Iteración 72	 Error de entrenamiento: 0,234793
Iteración 73	 Error de entrenamiento: 0,233657
Iteración 74	 Error de entrenamiento: 0,232522
Iteración 75	 Error de entrenamiento: 0,231383
Iteración 76	 Error de entrenamiento: 0,230237
Iteración 77	 Error de entrenamiento: 0,229081
Iteración 78	 Error de entrenamiento: 0,227916
Iteración 79	 Error de entrenamiento: 0,22674
Iteración 80	 Error de entrenamiento: 0,225554
Iteración 81	 Error de entrenamiento: 0,224362
Iteración 82	 Error de entrenamiento: 0,223164
Iteración 83	 Error de entrenamiento: 0,221963
Iteración 84	 Error de entrenamiento: 0,220763
Iteración 85	 Error de entrenamiento: 0,219566
Iteración 86	 Error de entrenamiento: 0,218376
Iteración 87	 Error de entrenamiento: 0,217195
Iteración 88	 Error de entrenamiento: 0,216025
Iteración 89	 Error de entrenamiento: 0,214868
Iteración 90	 Error de entrenamiento: 0,213726
Iteración 91	 Error de entrenamiento: 0,212599
Iteración 92	 Error de entrenamiento: 0,211489
Iteración 93	 Error de entrenamiento: 0,210395
Iteración 94	 Error de entrenamiento: 0,209316
Iteración 95	 Error de entrenamiento: 0,208251
Iteración 96	 Error de entrenamiento: 0,2072
Iteración 97	 Error de entrenamiento: 0,206161
Iteración 98	 Error de entrenamiento: 0,205131
Iteración 99	 Error de entrenamiento: 0,204109
Iteración 100	 Error de entrenamiento: 0,203093
Iteración 101	 Error de entrenamiento: 0,20208
Iteración 102	 Error de entrenamiento: 0,201068
Iteración 103	 Error de entrenamiento: 0,200056
Iteración 104	 Error de entrenamiento: 0,199042
Iteración 105	 Error de entrenamiento: 0,198023
Iteración 106	 Error de entrenamiento: 0,196999
Iteración 107	 Error de entrenamiento: 0,195969
Iteración 108	 Error de entrenamiento: 0,194932
Iteración 109	 Error de entrenamiento: 0,193888
Iteración 110	 Error de entrenamiento: 0,192837
Iteración 111	 Error de entrenamiento: 0,191779
Iteración 112	 Error de entrenamiento: 0,190715
Iteración 113	 Error de entrenamiento: 0,189646
Iteración 114	 Error de entrenamiento: 0,188573
Iteración 115	 Error de entrenamiento: 0,187498
Iteración 116	 Error de entrenamiento: 0,186423
Iteración 117	 Error de entrenamiento: 0,185349
Iteración 118	 Error de entrenamiento: 0,184277
Iteración 119	 Error de entrenamiento: 0,183211
Iteración 120	 Error de entrenamiento: 0,182151
