**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,54798
Iteración 2	 Error de entrenamiento: 0,393858
Iteración 3	 Error de entrenamiento: 0,431156
Iteración 4	 Error de entrenamiento: 0,361655
Iteración 5	 Error de entrenamiento: 0,36568
Iteración 6	 Error de entrenamiento: 0,34362
Iteración 7	 Error de entrenamiento: 0,335345
Iteración 8	 Error de entrenamiento: 0,327642
Iteración 9	 Error de entrenamiento: 0,318411
Iteración 10	 Error de entrenamiento: 0,314094
Iteración 11	 Error de entrenamiento: 0,306443
Iteración 12	 Error de entrenamiento: 0,302084
Iteración 13	 Error de entrenamiento: 0,29574
Iteración 14	 Error de entrenamiento: 0,290702
Iteración 15	 Error de entrenamiento: 0,284685
Iteración 16	 Error de entrenamiento: 0,278839
Iteración 17	 Error de entrenamiento: 0,272732
Iteración 18	 Error de entrenamiento: 0,266492
Iteración 19	 Error de entrenamiento: 0,260169
Iteración 20	 Error de entrenamiento: 0,253678
Iteración 21	 Error de entrenamiento: 0,247263
Iteración 22	 Error de entrenamiento: 0,240867
Iteración 23	 Error de entrenamiento: 0,234588
Iteración 24	 Error de entrenamiento: 0,228389
Iteración 25	 Error de entrenamiento: 0,222331
Iteración 26	 Error de entrenamiento: 0,216422
Iteración 27	 Error de entrenamiento: 0,210658
Iteración 28	 Error de entrenamiento: 0,205029
Iteración 29	 Error de entrenamiento: 0,199531
Iteración 30	 Error de entrenamiento: 0,194173
Iteración 31	 Error de entrenamiento: 0,188957
Iteración 32	 Error de entrenamiento: 0,183895
Iteración 33	 Error de entrenamiento: 0,179003
Iteración 34	 Error de entrenamiento: 0,174304
Iteración 35	 Error de entrenamiento: 0,169817
Iteración 36	 Error de entrenamiento: 0,165562
Iteración 37	 Error de entrenamiento: 0,161557
Iteración 38	 Error de entrenamiento: 0,157813
Iteración 39	 Error de entrenamiento: 0,154335
Iteración 40	 Error de entrenamiento: 0,151123
Iteración 41	 Error de entrenamiento: 0,148172
Iteración 42	 Error de entrenamiento: 0,145472
Iteración 43	 Error de entrenamiento: 0,143009
Iteración 44	 Error de entrenamiento: 0,140768
Iteración 45	 Error de entrenamiento: 0,138733
Iteración 46	 Error de entrenamiento: 0,136888
Iteración 47	 Error de entrenamiento: 0,135217
Iteración 48	 Error de entrenamiento: 0,133705
Iteración 49	 Error de entrenamiento: 0,132341
Iteración 50	 Error de entrenamiento: 0,131111
Iteración 51	 Error de entrenamiento: 0,130005
Iteración 52	 Error de entrenamiento: 0,129013
Iteración 53	 Error de entrenamiento: 0,128127
Iteración 54	 Error de entrenamiento: 0,127338
Iteración 55	 Error de entrenamiento: 0,126638
Iteración 56	 Error de entrenamiento: 0,12602
Iteración 57	 Error de entrenamiento: 0,125477
Iteración 58	 Error de entrenamiento: 0,125001
Iteración 59	 Error de entrenamiento: 0,124586
Iteración 60	 Error de entrenamiento: 0,124225
Iteración 61	 Error de entrenamiento: 0,123912
Iteración 62	 Error de entrenamiento: 0,123641
Iteración 63	 Error de entrenamiento: 0,123405
Iteración 64	 Error de entrenamiento: 0,123199
Iteración 65	 Error de entrenamiento: 0,123017
Iteración 66	 Error de entrenamiento: 0,122854
Iteración 67	 Error de entrenamiento: 0,122705
Iteración 68	 Error de entrenamiento: 0,122564
Iteración 69	 Error de entrenamiento: 0,122427
Iteración 70	 Error de entrenamiento: 0,122289
Iteración 71	 Error de entrenamiento: 0,122145
Iteración 72	 Error de entrenamiento: 0,12199
Iteración 73	 Error de entrenamiento: 0,12182
Iteración 74	 Error de entrenamiento: 0,121631
Iteración 75	 Error de entrenamiento: 0,121417
Iteración 76	 Error de entrenamiento: 0,121174
Iteración 77	 Error de entrenamiento: 0,120898
Iteración 78	 Error de entrenamiento: 0,120585
Iteración 79	 Error de entrenamiento: 0,12023
Iteración 80	 Error de entrenamiento: 0,119829
Iteración 81	 Error de entrenamiento: 0,119378
Iteración 82	 Error de entrenamiento: 0,118874
Iteración 83	 Error de entrenamiento: 0,118312
Iteración 84	 Error de entrenamiento: 0,117688
Iteración 85	 Error de entrenamiento: 0,116999
Iteración 86	 Error de entrenamiento: 0,116242
Iteración 87	 Error de entrenamiento: 0,115414
Iteración 88	 Error de entrenamiento: 0,114512
Iteración 89	 Error de entrenamiento: 0,113534
Iteración 90	 Error de entrenamiento: 0,112479
Iteración 91	 Error de entrenamiento: 0,111344
Iteración 92	 Error de entrenamiento: 0,110129
Iteración 93	 Error de entrenamiento: 0,108835
Iteración 94	 Error de entrenamiento: 0,107463
Iteración 95	 Error de entrenamiento: 0,106015
Iteración 96	 Error de entrenamiento: 0,104493
Iteración 97	 Error de entrenamiento: 0,102903
Iteración 98	 Error de entrenamiento: 0,10125
