**********
SEMILLA 10
**********
Iteración 1	 Error de entrenamiento: 0,579075
Iteración 2	 Error de entrenamiento: 0,51928
Iteración 3	 Error de entrenamiento: 0,471865
Iteración 4	 Error de entrenamiento: 0,436557
Iteración 5	 Error de entrenamiento: 0,41121
Iteración 6	 Error de entrenamiento: 0,39265
Iteración 7	 Error de entrenamiento: 0,37914
Iteración 8	 Error de entrenamiento: 0,368673
Iteración 9	 Error de entrenamiento: 0,359893
Iteración 10	 Error de entrenamiento: 0,352023
Iteración 11	 Error de entrenamiento: 0,344211
Iteración 12	 Error de entrenamiento: 0,336641
Iteración 13	 Error de entrenamiento: 0,328037
Iteración 14	 Error de entrenamiento: 0,319624
Iteración 15	 Error de entrenamiento: 0,30999
Iteración 16	 Error de entrenamiento: 0,300951
Iteración 17	 Error de entrenamiento: 0,290721
Iteración 18	 Error de entrenamiento: 0,281617
Iteración 19	 Error de entrenamiento: 0,271442
Iteración 20	 Error de entrenamiento: 0,262601
Iteración 21	 Error de entrenamiento: 0,253012
Iteración 22	 Error de entrenamiento: 0,244627
Iteración 23	 Error de entrenamiento: 0,235444
Iteración 24	 Error de entrenamiento: 0,227265
Iteración 25	 Error de entrenamiento: 0,218767
Iteración 26	 Error de entrenamiento: 0,210867
Iteración 27	 Error de entrenamiento: 0,202744
Iteración 28	 Error de entrenamiento: 0,195243
Iteración 29	 Error de entrenamiento: 0,188024
Iteración 30	 Error de entrenamiento: 0,181211
Iteración 31	 Error de entrenamiento: 0,174659
Iteración 32	 Error de entrenamiento: 0,168701
Iteración 33	 Error de entrenamiento: 0,163209
Iteración 34	 Error de entrenamiento: 0,158147
Iteración 35	 Error de entrenamiento: 0,153303
Iteración 36	 Error de entrenamiento: 0,149044
Iteración 37	 Error de entrenamiento: 0,145088
Iteración 38	 Error de entrenamiento: 0,141557
Iteración 39	 Error de entrenamiento: 0,138103
Iteración 40	 Error de entrenamiento: 0,135135
Iteración 41	 Error de entrenamiento: 0,132382
Iteración 42	 Error de entrenamiento: 0,129976
Iteración 43	 Error de entrenamiento: 0,127645
Iteración 44	 Error de entrenamiento: 0,125626
Iteración 45	 Error de entrenamiento: 0,123804
Iteración 46	 Error de entrenamiento: 0,122206
Iteración 47	 Error de entrenamiento: 0,120706
Iteración 48	 Error de entrenamiento: 0,119362
Iteración 49	 Error de entrenamiento: 0,118168
Iteración 50	 Error de entrenamiento: 0,117103
Iteración 51	 Error de entrenamiento: 0,11612
Iteración 52	 Error de entrenamiento: 0,115212
Iteración 53	 Error de entrenamiento: 0,114391
Iteración 54	 Error de entrenamiento: 0,113646
Iteración 55	 Error de entrenamiento: 0,112956
Iteración 56	 Error de entrenamiento: 0,112306
Iteración 57	 Error de entrenamiento: 0,111701
Iteración 58	 Error de entrenamiento: 0,111139
Iteración 59	 Error de entrenamiento: 0,110611
Iteración 60	 Error de entrenamiento: 0,110106
Iteración 61	 Error de entrenamiento: 0,109623
Iteración 62	 Error de entrenamiento: 0,109162
Iteración 63	 Error de entrenamiento: 0,108719
Iteración 64	 Error de entrenamiento: 0,108289
Iteración 65	 Error de entrenamiento: 0,107869
Iteración 66	 Error de entrenamiento: 0,107458
Iteración 67	 Error de entrenamiento: 0,107055
Iteración 68	 Error de entrenamiento: 0,106658
Iteración 69	 Error de entrenamiento: 0,106265
Iteración 70	 Error de entrenamiento: 0,105874
Iteración 71	 Error de entrenamiento: 0,105485
Iteración 72	 Error de entrenamiento: 0,105098
Iteración 73	 Error de entrenamiento: 0,10471
Iteración 74	 Error de entrenamiento: 0,104323
Iteración 75	 Error de entrenamiento: 0,103936
Iteración 76	 Error de entrenamiento: 0,103548
Iteración 77	 Error de entrenamiento: 0,103161
Iteración 78	 Error de entrenamiento: 0,102773
Iteración 79	 Error de entrenamiento: 0,102387
Iteración 80	 Error de entrenamiento: 0,102001
Iteración 81	 Error de entrenamiento: 0,101616
Iteración 82	 Error de entrenamiento: 0,101234
Iteración 83	 Error de entrenamiento: 0,100853
Iteración 84	 Error de entrenamiento: 0,100476
Iteración 85	 Error de entrenamiento: 0,100101
Iteración 86	 Error de entrenamiento: 0,0997293
Iteración 87	 Error de entrenamiento: 0,0993606
Iteración 88	 Error de entrenamiento: 0,0989947
Iteración 89	 Error de entrenamiento: 0,0986312
Iteración 90	 Error de entrenamiento: 0,0982694
Iteración 91	 Error de entrenamiento: 0,0979083
Iteración 92	 Error de entrenamiento: 0,0975469
Iteración 93	 Error de entrenamiento: 0,0971836
Iteración 94	 Error de entrenamiento: 0,0968168
Iteración 95	 Error de entrenamiento: 0,0964447
Iteración 96	 Error de entrenamiento: 0,096065
Iteración 97	 Error de entrenamiento: 0,0956756
Iteración 98	 Error de entrenamiento: 0,0952739
Iteración 99	 Error de entrenamiento: 0,0948573
Iteración 100	 Error de entrenamiento: 0,0944232
Iteración 101	 Error de entrenamiento: 0,0939688
Iteración 102	 Error de entrenamiento: 0,0934913
Iteración 103	 Error de entrenamiento: 0,0929882
Iteración 104	 Error de entrenamiento: 0,0924567
Iteración 105	 Error de entrenamiento: 0,0918945
Iteración 106	 Error de entrenamiento: 0,0912992
Iteración 107	 Error de entrenamiento: 0,0906689
Iteración 108	 Error de entrenamiento: 0,0900017
Iteración 109	 Error de entrenamiento: 0,0892964
Iteración 110	 Error de entrenamiento: 0,0885519
Iteración 111	 Error de entrenamiento: 0,0877677
Iteración 112	 Error de entrenamiento: 0,0869435
Iteración 113	 Error de entrenamiento: 0,0860797
Iteración 114	 Error de entrenamiento: 0,0851772
Iteración 115	 Error de entrenamiento: 0,0842371
Iteración 116	 Error de entrenamiento: 0,0832613
Iteración 117	 Error de entrenamiento: 0,0822519
Iteración 118	 Error de entrenamiento: 0,0812114
Iteración 119	 Error de entrenamiento: 0,0801429
Iteración 120	 Error de entrenamiento: 0,0790494
Iteración 121	 Error de entrenamiento: 0,0779344
Iteración 122	 Error de entrenamiento: 0,0768012
Iteración 123	 Error de entrenamiento: 0,0756535
Iteración 124	 Error de entrenamiento: 0,0744946
Iteración 125	 Error de entrenamiento: 0,0733278
Iteración 126	 Error de entrenamiento: 0,0721563
Iteración 127	 Error de entrenamiento: 0,0709827
Iteración 128	 Error de entrenamiento: 0,0698096
Iteración 129	 Error de entrenamiento: 0,068639
Iteración 130	 Error de entrenamiento: 0,0674727
Iteración 131	 Error de entrenamiento: 0,0663118
Iteración 132	 Error de entrenamiento: 0,0651575
Iteración 133	 Error de entrenamiento: 0,0640102
Iteración 134	 Error de entrenamiento: 0,0628704
Iteración 135	 Error de entrenamiento: 0,0617379
Iteración 136	 Error de entrenamiento: 0,0606126
Iteración 137	 Error de entrenamiento: 0,0594943
Iteración 138	 Error de entrenamiento: 0,0583825
Iteración 139	 Error de entrenamiento: 0,0572769
Iteración 140	 Error de entrenamiento: 0,0561771
Iteración 141	 Error de entrenamiento: 0,0550827
Iteración 142	 Error de entrenamiento: 0,0539937
Iteración 143	 Error de entrenamiento: 0,0529099
Iteración 144	 Error de entrenamiento: 0,0518316
Iteración 145	 Error de entrenamiento: 0,0507591
Iteración 146	 Error de entrenamiento: 0,0496928
Iteración 147	 Error de entrenamiento: 0,0486334
Iteración 148	 Error de entrenamiento: 0,0475819
Iteración 149	 Error de entrenamiento: 0,0465392
Iteración 150	 Error de entrenamiento: 0,0455064
Iteración 151	 Error de entrenamiento: 0,0444849
Iteración 152	 Error de entrenamiento: 0,0434758
Iteración 153	 Error de entrenamiento: 0,0424805
Iteración 154	 Error de entrenamiento: 0,0415003
Iteración 155	 Error de entrenamiento: 0,0405367
Iteración 156	 Error de entrenamiento: 0,0395907
Iteración 157	 Error de entrenamiento: 0,0386636
Iteración 158	 Error de entrenamiento: 0,0377566
Iteración 159	 Error de entrenamiento: 0,0368706
Iteración 160	 Error de entrenamiento: 0,0360065
Iteración 161	 Error de entrenamiento: 0,0351651
Iteración 162	 Error de entrenamiento: 0,034347
Iteración 163	 Error de entrenamiento: 0,0335526
Iteración 164	 Error de entrenamiento: 0,0327825
Iteración 165	 Error de entrenamiento: 0,0320367
Iteración 166	 Error de entrenamiento: 0,0313155
Iteración 167	 Error de entrenamiento: 0,0306188
Iteración 168	 Error de entrenamiento: 0,0299466
Iteración 169	 Error de entrenamiento: 0,0292987
Iteración 170	 Error de entrenamiento: 0,0286748
Iteración 171	 Error de entrenamiento: 0,0280747
